ID,intergenic.cov
003860a34c9b244a5d8435b220ca5673,6607641
04dad306f9be80db39f4be578091aa11,4525577
08886fe521e2ff176295468dc519d9f3,4954278
09f52a751a3bd08f2fd4dcc61a046ed0,3535819
0e41df612857dbc6059e6160e3b6026d,4072760
0e66d92c70e71ca68bc7df03f140ac23,2835321
0fb4ae5b4fe04b81ebf63b3eac09c4c3,8314157
10d85d009df4ff9f97b61da04d2f86b7,5940214
1194ab7c994b6a6e775de7260c86068c,10609202
186c563eb5322146d6e258227b27712b,2101566
1afc6bc8152648c1a4ea85bc89ab926a,4095068
25afb594517b6fc2c6bc85a0c66b667c,2551129
25b934fcc8f9dc0711a504c352c80616,4279190
278ba239dee396794cbfdd659cef87f6,8279472
2da9f52ad34b5f74308fb4492c9dd134,7490420
306ab2bba3fce80857e4dcd5fd980a91,8382258
330778ac85ddcec84eca203e62642108,7345835
36c23dfb45da8cda46af63a39d69766c,15276701
3886522fcb4f50f10124f140ae535107,3236189
39300c8aac13e03d467f7a274c0a7b6c,5843891
3b3fd518637430ae70371bc419d932c4,3933571
3ba5a8a0e4a51a4dcef4fa0aca856f48,4601274
3f366b6605e4121de55f85f4002791c0,17196571
3f75e014e177132805d2777c7c9ddccd,8768227
443ddc6820a4dad1e07abf188b2112af,3411531
454e39689782962a5b86c5d630da5472,7072262
4d5907b73a2622840152c66ae4b47b09,3128370
514c92d6a709c62bab935a48309dc606,3044655
53a151cc962a0e0f0cfe62c1e6b29810,4407946
592d1b0ed845160b9526409972fc2963,2637737
5b7b5b7c4892052d4cf8f97800fbb3b7,5648778
5e349b4a49c6ac2cbb838e170a6a29b0,9490108
6277c358b68c67bb3fcfd7a7515aa59b,2810263
62d08a29bfd3d672ec5fa548d2ec208a,8705225
660390b51c0c7556d19d14d86f490de4,14809531
684e60d7cd74c16e5db250ced3a4438b,2641695
72281bd282e6874c6791000006028c6f,5673228
8851e1f8685d9a675e2822f3f78be5fe,2850189
88559690f83459635b6059da3467cea0,2769791
88df0f9768818d09d7279d778628eb30,4054627
89d63b331e9cc8c8677ecf2d62b794da,2284476
8b875f224d4fb52377dda158b92379cc,3398928
8b9f9dccf83b6b131668989350c210d2,5127109
8e0af4f2274023a7637905cc63e32fba,3370353
8f84a752d7f5973527254df41ef35aaf,3102774
93b27e4783c418b44b0754fbc5dab777,2797264
94c3a049a4af3e73c5387c52a5ecc776,5508274
95f6c93a54de9ba213b74318ef230a9c,5561421
975e9b3660d3ea88f5de0d650d5daefd,6263602
9e6c829af95ef7aefb62645075b5d01f,5198905
9fa6f4a57f818650b2a9b134804eac67,4139884
b01d1831ce6dc27633173eeaffe449b2,4708645
b08c0135b078944c9f4556b3ebf17e3b,4388082
b1f4f89a47c188cbfbf80e23d8644acf,3906944
bc515e19f91861bda91eea2c2d89a8d0,4731220
c15f22bb44b88cad95b838662efda724,6705025
c2b6665c221630e70c7bd47b32d5d7f9,5149549
C347.TCGA-05-4244-01A-01D-1105-08.5,14426925
C347.TCGA-05-4420-01A-01D-1265-08.3,11970872
C347.TCGA-05-4430-01A-02D-1265-08.3,10291857
C347.TCGA-17-Z004-01A-01W-0746-08.1,3246782
C347.TCGA-17-Z006-01A-01W-0746-08.3,7208268
C347.TCGA-17-Z014-01A-01W-0746-08.1,4946500
C347.TCGA-18-3407-01A-01D-0983-08.16,4289444
C347.TCGA-18-3408-01A-01D-0983-08.16,4538253
C347.TCGA-18-3409-01A-01D-0983-08.17,4102027
C347.TCGA-18-3412-01A-01D-0983-08.17,4416943
C347.TCGA-33-4582-01A-01D-1441-08.2,9288751
C347.TCGA-34-5240-01A-01D-1441-08.2,12059867
C347.TCGA-37-4129-01A-01D-1352-08.1,16274701
