ID,cov.rDNA,cov.5S
022dd75d-0977-40b5-8804-bf0a281c149b_gdc_realn_rehead.rDNA.pileup.gz,39.8087,0.269256
06ab660e-2766-4c97-8f2e-b8495ddc0880_gdc_realn_rehead.rDNA.pileup.gz,11.3956,0.158279
0839fb75-93a3-4aad-a638-313028e90f23_gdc_realn_rehead.rDNA.pileup.gz,15.4377,0.148302
0ade1371-b218-4f01-a39e-b503d30d24e0_gdc_realn_rehead.rDNA.pileup.gz,18.1447,0.184651
0afa74a0-7a7c-4b48-a253-45070049ceea_gdc_realn_rehead.rDNA.pileup.gz,10.8553,0.127558
0b684455-659e-480d-9b27-7632f71d67db_gdc_realn_rehead.rDNA.pileup.gz,43.457,0.174279
0e0dd65a-4a41-4f6c-9ff9-d3cea84de4d7_gdc_realn_rehead.rDNA.pileup.gz,15.5228,0.151023
0e41df612857dbc6059e6160e3b6026d.rDNA.pileup.gz,91.2137,0.257581
0f3494df-6f55-4e6e-8e67-b7bfdecc8dec_gdc_realn_rehead.rDNA.pileup.gz,24.1734,0.248372
13bddb12-c433-41d4-9953-eda7edaf5efe_gdc_realn_rehead.rDNA.pileup.gz,37.2836,0.241698
186c563eb5322146d6e258227b27712b.rDNA.pileup.gz,250.865,0.221605
1a2c9e96-f861-4da0-b1b4-ad15baf85d4e_gdc_realn_rehead.rDNA.pileup.gz,74.2366,0.244605
1b43fc14-febe-4994-b814-fd9ad938bd0f_gdc_realn_rehead.rDNA.pileup.gz,13.0269,0.172581
1bc73950-9b27-4e14-a152-2cca34397565_gdc_realn_rehead.rDNA.pileup.gz,351.396,0.152465
1c356cd8-5f5b-4357-90ea-d2d23109e284_gdc_realn_rehead.rDNA.pileup.gz,19.2021,0.165419
1cafa993-5138-448f-8a4e-d51d6c38cb28_gdc_realn_rehead.rDNA.pileup.gz,18.6617,0.20814
1d62f45d-8b34-4bd2-8df5-67f3099282dd_gdc_realn_rehead.rDNA.pileup.gz,405.526,0.0581395
1e8ff09a-a87f-4736-b36a-dd1c41cd188b_gdc_realn_rehead.rDNA.pileup.gz,13.2021,0.134791
1fa9830e-07e1-4506-a7ff-bafbc430ffdd_gdc_realn_rehead.rDNA.pileup.gz,36.2039,0.184581
200313ec-9822-4203-a4f4-c91f602ac99c_gdc_realn_rehead.rDNA.pileup.gz,18.9772,0.12407
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead.rDNA.pileup.gz,25.1223,0.202023
232004bd-7fe6-427a-b4c4-cf5e6b4f1759_gdc_realn_rehead.rDNA.pileup.gz,16.5793,0.187581
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead.rDNA.pileup.gz,107.848,0.214605
2360a9b2-fe19-42a6-b802-dcc88adcc1a5_gdc_realn_rehead.rDNA.pileup.gz,12.3244,0.153721
2413c9ab-2c1b-4cb8-87b3-49534ab59d79_gdc_realn_rehead.rDNA.pileup.gz,14.7912,0.16507
25b934fcc8f9dc0711a504c352c80616.rDNA.pileup.gz,287.43,0.0349767
26cdbfd9-801b-42fd-84e7-a8c177f0bd8b_gdc_realn_rehead.rDNA.pileup.gz,19.3047,0.151674
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead.rDNA.pileup.gz,273.644,0.0164419
2968a0ca-b550-40e7-8da5-cf771936f77a_gdc_realn_rehead.rDNA.pileup.gz,14.9409,0.16893
2a8cf710-6197-4a1c-b7b3-97bbb975c715_gdc_realn_rehead.rDNA.pileup.gz,15.1864,0.166186
2b9f6e1a-1b6c-4c33-8c21-7fe7ac515294_gdc_realn_rehead.rDNA.pileup.gz,9.55824,0.11793
2c677a6e-2c90-4b16-aca8-6c277f0fece6_gdc_realn_rehead.rDNA.pileup.gz,12.9462,0.109767
2f107360-f95d-4edb-821e-f5db5f97453a_gdc_realn_rehead.rDNA.pileup.gz,28.5264,0.204209
2f973de3-769b-4ab3-8633-c1eb2f53a67f_gdc_realn_rehead.rDNA.pileup.gz,27.3674,0.244953
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead.rDNA.pileup.gz,97.4046,0.24986
306ab2bba3fce80857e4dcd5fd980a91.rDNA.pileup.gz,217.367,0.254047
330778ac85ddcec84eca203e62642108.rDNA.pileup.gz,145.702,0.30407
337afcb4-52a9-4819-8b35-eb46d34f775e_gdc_realn_rehead.rDNA.pileup.gz,10.3011,0.103674
344403b9-e960-4d21-8094-c64c6c21feac_gdc_realn_rehead.rDNA.pileup.gz,10.8289,0.147907
37148380-3155-46a5-bc73-d79cf0549e87_gdc_realn_rehead.rDNA.pileup.gz,10.7657,0.106
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead.rDNA.pileup.gz,30.1308,0.162535
3b3fd518637430ae70371bc419d932c4.rDNA.pileup.gz,408.198,0.500674
3b50841d-fd1b-4f40-85db-db97403b3411_gdc_realn_rehead.rDNA.pileup.gz,15.1756,0.113721
3ba5a8a0e4a51a4dcef4fa0aca856f48.rDNA.pileup.gz,312.279,0.901674
3bda51f4-6075-4f3c-a8ca-92b72d0d8e73_gdc_realn_rehead.rDNA.pileup.gz,17.4727,0.174488
3cf10dbd-0f15-4a50-8980-8959deb38538_gdc_realn_rehead.rDNA.pileup.gz,12.0968,0.157488
3ea7a215-73c4-4e11-94f3-2aa03325349e_gdc_realn_rehead.rDNA.pileup.gz,19.4341,0.14886
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead.rDNA.pileup.gz,20.0923,0.193721
41abd1be-c073-4bca-9133-215bf70f579a_gdc_realn_rehead.rDNA.pileup.gz,12.9422,0.134884
441fc7e7-d77a-4cfb-bb94-08c5cbf43e10_gdc_realn_rehead.rDNA.pileup.gz,8.19624,0.149116
444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead.rDNA.pileup.gz,36.4507,0.668535
454e39689782962a5b86c5d630da5472.rDNA.pileup.gz,69.453,0.146651
46a22381-f8d1-40d3-9be4-8b48be4d0e86_gdc_realn_rehead.rDNA.pileup.gz,13.3772,0.117581
481e7b1a-4750-46e9-a326-7c515fe80bc6_gdc_realn_rehead.rDNA.pileup.gz,40.4467,0.172744
49e98347-78bc-46bb-ba9a-895ec6cee19a_gdc_realn_rehead.rDNA.pileup.gz,19.741,0.287488
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead.rDNA.pileup.gz,76.0932,0.17714
