ID,n.reads
022dd75d-0977-40b5-8804-bf0a281c149b_gdc_realn_rehead,198787931
06ab660e-2766-4c97-8f2e-b8495ddc0880_gdc_realn_rehead,147474518
0839fb75-93a3-4aad-a638-313028e90f23_gdc_realn_rehead,129199299
0afa74a0-7a7c-4b48-a253-45070049ceea_gdc_realn_rehead,110796277
0b684455-659e-480d-9b27-7632f71d67db_gdc_realn_rehead,149312255
0e41df612857dbc6059e6160e3b6026d,50261138
13bddb12-c433-41d4-9953-eda7edaf5efe_gdc_realn_rehead,211019789
186c563eb5322146d6e258227b27712b,121205246
1a2c9e96-f861-4da0-b1b4-ad15baf85d4e_gdc_realn_rehead,240248434
1b43fc14-febe-4994-b814-fd9ad938bd0f_gdc_realn_rehead,140893712
1cafa993-5138-448f-8a4e-d51d6c38cb28_gdc_realn_rehead,207821433
1d62f45d-8b34-4bd2-8df5-67f3099282dd_gdc_realn_rehead,247518502
1e8ff09a-a87f-4736-b36a-dd1c41cd188b_gdc_realn_rehead,127218681
1fa9830e-07e1-4506-a7ff-bafbc430ffdd_gdc_realn_rehead,151053522
200313ec-9822-4203-a4f4-c91f602ac99c_gdc_realn_rehead,153704218
232004bd-7fe6-427a-b4c4-cf5e6b4f1759_gdc_realn_rehead,215279356
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,227953390
2413c9ab-2c1b-4cb8-87b3-49534ab59d79_gdc_realn_rehead,166758514
25b934fcc8f9dc0711a504c352c80616,178465896
26cdbfd9-801b-42fd-84e7-a8c177f0bd8b_gdc_realn_rehead,132960652
2968a0ca-b550-40e7-8da5-cf771936f77a_gdc_realn_rehead,172681517
2b9f6e1a-1b6c-4c33-8c21-7fe7ac515294_gdc_realn_rehead,136879581
2c677a6e-2c90-4b16-aca8-6c277f0fece6_gdc_realn_rehead,139161603
2f107360-f95d-4edb-821e-f5db5f97453a_gdc_realn_rehead,209685051
2f973de3-769b-4ab3-8633-c1eb2f53a67f_gdc_realn_rehead,160443475
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead,197475113
306ab2bba3fce80857e4dcd5fd980a91,118788454
330778ac85ddcec84eca203e62642108,93336922
337afcb4-52a9-4819-8b35-eb46d34f775e_gdc_realn_rehead,119984715
344403b9-e960-4d21-8094-c64c6c21feac_gdc_realn_rehead,97138184
37148380-3155-46a5-bc73-d79cf0549e87_gdc_realn_rehead,132237125
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead,117569430
3b3fd518637430ae70371bc419d932c4,167594458
3b50841d-fd1b-4f40-85db-db97403b3411_gdc_realn_rehead,115144657
3ba5a8a0e4a51a4dcef4fa0aca856f48,142456366
3bda51f4-6075-4f3c-a8ca-92b72d0d8e73_gdc_realn_rehead,186516563
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,182721043
41abd1be-c073-4bca-9133-215bf70f579a_gdc_realn_rehead,162271032
441fc7e7-d77a-4cfb-bb94-08c5cbf43e10_gdc_realn_rehead,137416404
444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead,230539736
454e39689782962a5b86c5d630da5472,95953270
46a22381-f8d1-40d3-9be4-8b48be4d0e86_gdc_realn_rehead,118529448
481e7b1a-4750-46e9-a326-7c515fe80bc6_gdc_realn_rehead,180965705
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead,201872807
4c5ead4f-f096-40af-ad34-90b0eb4d3b8f_gdc_realn_rehead,202129314
4d94d6b6-0ea3-4f5e-9b41-ac1618e7629f_gdc_realn_rehead,174869599
514c92d6a709c62bab935a48309dc606,162272982
517b7d48-b56f-4669-9ac9-a2ebd38f62c0_gdc_realn_rehead,126650051
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,284668440
57b7eeb8-5a64-4780-aa48-49ae8f168ad6_gdc_realn_rehead,169129423
57d37bbc-2be0-4af4-b946-7e876c5d698a_gdc_realn_rehead,156579503
5a5439dd-fc39-4514-be27-7ca9c006a3da_gdc_realn_rehead,146268571
5b7b5b7c4892052d4cf8f97800fbb3b7,78889878
5d9ee8ea-0c7c-4183-9fa3-5d7ef423fd7a_gdc_realn_rehead,152500741
5e349b4a49c6ac2cbb838e170a6a29b0,43613480
6277c358b68c67bb3fcfd7a7515aa59b,128548260
62d08a29bfd3d672ec5fa548d2ec208a,124681380
64a624ae-5239-424e-8804-410a75cdae7f_gdc_realn_rehead,211821996
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead,195701774
684e60d7cd74c16e5db250ced3a4438b,125391452
6b7d7402-42f0-4511-937f-9462ef549ef6_gdc_realn_rehead,120295165
6bc88daf-bcd3-4343-9aa5-bb69a90d6503_gdc_realn_rehead,137538457
6c5a23c8-70b3-4bb3-842d-42b048978f1e_gdc_realn_rehead,211211282
6ce7ac63-a45e-4f8a-9520-0d22536fcd05_gdc_realn_rehead,109216945
6dae1a17-70b1-4989-b591-ce1dec2ec802_gdc_realn_rehead,140256717
6dc766aa-8f14-45fb-9fda-91c3cad1b887_gdc_realn_rehead,103436856
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead,203975071
703063d9-d8a1-4ec4-8bc2-ba80456c9daf_gdc_realn_rehead,143332785
72281bd282e6874c6791000006028c6f,91529484
73d26d1e-fbdf-46b0-80e2-f59f58daf6cb_gdc_realn_rehead,145666666
73fa499e-6036-49bb-9ae2-a1935a278dbf_gdc_realn_rehead,154992531
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead,152116072
78ef733f-6117-482b-9a45-93bd0366d0ee_gdc_realn_rehead,136602685
7da2c815-ea22-4e56-93a1-80b3f40b8017_gdc_realn_rehead,138148366
7fb5469e-68e2-4e37-85be-5e78259b66d1_gdc_realn_rehead,196085859
7fc80880-9530-489c-84a8-5994ce745892_gdc_realn_rehead,164251317
8851e1f8685d9a675e2822f3f78be5fe,125214774
88559690f83459635b6059da3467cea0,135313254
88df0f9768818d09d7279d778628eb30,124654672
88e6af82-c26e-4a65-9cd2-97c6b78d25ee_gdc_realn_rehead,70708337
8a029484-0321-4f80-a941-37bbb91d41e6_gdc_realn_rehead,189470876
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead,243155834
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead,135540233
8cbf17cb-67ca-492f-82be-e749ad6a4b98_gdc_realn_rehead,102325472
8e17bc34-5a3a-405d-b8fb-682e7d2b87fd_gdc_realn_rehead,148735235
8f84a752d7f5973527254df41ef35aaf,121364210
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,109732546
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead,198910367
924207e4-46c5-40ed-b829-4a8fc925466d_gdc_realn_rehead,193648479
92e95650-529d-4ca6-91c7-f466de4d0836_gdc_realn_rehead,138376188
9308cfb3-1931-4e3e-92ff-efba26874029_gdc_realn_rehead,166318061
93b27e4783c418b44b0754fbc5dab777,141809454
94c3a049a4af3e73c5387c52a5ecc776,89886352
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead,210881008
975e9b3660d3ea88f5de0d650d5daefd,92944106
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead,129352784
9b219189-feb7-42a2-81fd-c35fef0bb8db_gdc_realn_rehead,102559514
9e6c829af95ef7aefb62645075b5d01f,154195582
9fa6f4a57f818650b2a9b134804eac67,56668532
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead,208107937
a00aa459-e740-486f-a288-cf7e4ef3e241_gdc_realn_rehead,159099288
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead,159201015
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead,221747870
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead,125482052
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead,58852509
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead,169545977
afbbc370-5970-43d3-b9f8-f40f8e649bb6_gdc_realn_rehead,248580968
b01d1831ce6dc27633173eeaffe449b2,68078992
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead,199547936
b08c0135b078944c9f4556b3ebf17e3b,164068078
b1f4f89a47c188cbfbf80e23d8644acf,230056468
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead,167142797
b9e8308b-72b2-42e0-91cd-06dd2d026ba3_gdc_realn_rehead,147148687
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead,158924610
be086d64-2023-4de5-b300-798b05b296fc_gdc_realn_rehead,85203917
c2b6665c221630e70c7bd47b32d5d7f9,237481856
C347.TCGA-05-4244-01A-01D-1105-08.5,187428888
C347.TCGA-05-4420-01A-01D-1265-08.3,136702637
C347.TCGA-05-4430-01A-02D-1265-08.3,138516286
C347.TCGA-17-Z004-01A-01W-0746-08.1,142748064
C347.TCGA-17-Z006-01A-01W-0746-08.3,348639808
C347.TCGA-18-3407-01A-01D-0983-08.16,166101250
C347.TCGA-18-3408-01A-01D-0983-08.16,181562016
C347.TCGA-18-3409-01A-01D-0983-08.17,170538638
C347.TCGA-18-3412-01A-01D-0983-08.17,178450128
C347.TCGA-33-4582-01A-01D-1441-08.2,112845770
C347.TCGA-34-5240-01A-01D-1441-08.2,162818190
C347.TCGA-37-4129-01A-01D-1352-08.1,192752960
C347.TCGA-37-4132-01A-01D-1352-08.3,202890396
C347.TCGA-37-4135-01A-01D-1352-08.1,325704368
C347.TCGA-39-5028-01A-01D-1441-08.2,179886618
C347.TCGA-44-2666-01A-21D-A27T-08.2,111750520
C347.TCGA-44-3398-01A-01D-1105-08.5,178062973
C347.TCGA-44-4112-01A-01D-A271-08.5,68570466
C347.TCGA-44-4112-01A-22D-A27T-08.2,119542672
C347.TCGA-46-3766-01A-01D-0983-08.18,176855598
C347.TCGA-46-3769-01A-01D-0983-08.17,179512594
C347.TCGA-49-4505-01A-01D-1931-08.1,183531768
C347.TCGA-55-1592-01A-01D-0969-08.1,201514066
C347.TCGA-55-1595-01A-01D-0969-08.1,188796810
C347.TCGA-60-2725-01A-01D-1267-08.1,372478012
C347.TCGA-64-1676-01A-01D-0969-08.1,190417312
C347.TCGA-64-1680-01A-02D-0969-08.1,234578218
C347.TCGA-66-2754-01A-01D-0983-08.17,166749254
C347.TCGA-66-2787-01A-01D-0983-08.19,161445125
C347.TCGA-73-4658-01A-01D-1753-08.1,85927094
C347.TCGA-73-4662-01A-01D-1265-08.3,123037327
C347.TCGA-73-4677-01A-01D-1265-08.5,170339261
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,147023271
C508.TCGA-21-1082-01A-01D-1521-08.3,198079240
C508.TCGA-21-5782-01A-01D-1632-08.1,91475330
C508.TCGA-22-5471-01A-01D-1632-08.1,89850992
C508.TCGA-22-5474-01A-01D-1632-08.1,99687642
C508.TCGA-22-5480-01A-01D-1632-08.1,83578358
C508.TCGA-22-5492-01A-01D-1632-08.1,78672404
C508.TCGA-33-6738-01A-11D-1945-08.5,85598184
C508.TCGA-33-A5GW-01A-11D-A27K-08.3,97387822
C508.TCGA-33-AASJ-01A-11D-A401-08.1,92658424
C508.TCGA-33-AASL-01A-11D-A401-08.1,84906110
C508.TCGA-34-2600-01A-01D-1522-08.5,206322578
C508.TCGA-34-2608-01A-02D-1522-08.5,215711638
C508.TCGA-34-5236-01A-21D-1817-08.2,115400714
C508.TCGA-34-5239-01A-21D-1817-08.2,128256865
C508.TCGA-34-5928-01A-11D-1817-08.2,137329743
C508.TCGA-34-8454-01A-11D-2323-08.2,113367516
C508.TCGA-34-A5IX-01A-12D-A27K-08.3,92171526
C508.TCGA-39-5019-01A-01D-1817-08.2,128764827
C508.TCGA-43-2578-01A-01D-1522-08.5,210554510
C508.TCGA-43-6771-01A-11D-1817-08.2,120046773
C508.TCGA-43-A474-01A-11D-A24D-08.1,79963520
C508.TCGA-51-4079-01A-01D-1458-08.6,210205030
C508.TCGA-56-8304-01A-11D-2323-08.5,96088616
C508.TCGA-56-8308-01A-11D-2293-08.2,96589410
C508.TCGA-56-8623-01A-11D-2395-08.1,101294450
C508.TCGA-56-8626-01A-11D-2395-08.2,121825624
C508.TCGA-56-A5DR-01A-11D-A27K-08.3,88412166
C508.TCGA-60-2713-01A-01D-1522-08.5,193121214
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,79828236
C508.TCGA-66-2780-01A-01D-1522-08.5,208994368
C508.TCGA-77-8145-01A-11D-2244-08.1,93643698
C508.TCGA-77-8153-01A-11D-2395-08.1,125918026
C508.TCGA-85-8070-01A-11D-2244-08.1,99343418
C508.TCGA-85-8582-01A-21D-2395-08.1,106948208
C508.TCGA-85-A4CN-01A-11D-A24D-08.1,65601284
C508.TCGA-94-A4VJ-01A-11D-A257-08.1,114504668
C508.TCGA-98-8023-01A-11D-2244-08.1,103699652
C508.TCGA-LA-A7SW-01A-11D-A401-08.1,85515324
C508.TCGA-LUSC-2703-TP-11D-2042-08.5,76864384
C508.TCGA-LUSC-4609-TP-21D-2122-08.3,88039464
C508.TCGA-LUSC-6867-TP-11D-2042-08.10,81282806
C508.TCGA-LUSC-7696-TP-11D-2122-08.4,92896144
C508.TCGA-LUSC-7710-TP-11D-2122-08.3,79214264
C508.TCGA-LUSC-7809-TP-21D-2122-08.3,82177080
C508.TCGA-LUSC-7964-TP-21D-2184-08.2,83623070
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3,68450486
C508.TCGA-NC-A5HN-01A-11D-A26M-08.3,71312732
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5,61156688
C509.TCGA-05-5423-01A-01D-1625-08.1,89695850
C509.TCGA-44-5643-01A-01D-1625-08.1,91437098
C509.TCGA-44-6778-01A-11D-1855-08.2,115853772
C509.TCGA-44-7667-01A-31D-2063-08.1,87155476
C509.TCGA-44-7669-01A-21D-2063-08.3,86332248
C509.TCGA-44-A4SS-01A-11D-A24P-08.3,98289672
C509.TCGA-49-4487-01A-21D-1855-08.2,111371538
C509.TCGA-53-7624-01A-11D-2063-08.1,95126320
C509.TCGA-55-6968-01A-11D-1945-08.3,79418014
C509.TCGA-55-6978-01A-11D-1945-08.3,91212584
C509.TCGA-55-7994-01A-11D-2184-08.1,110469466
C509.TCGA-55-8085-01A-11D-2238-08.1,122002978
C509.TCGA-55-8090-01A-11D-2238-08.1,114268608
