ID,cov.28S
003860a34c9b244a5d8435b220ca5673,70.6107462687
04dad306f9be80db39f4be578091aa11,194.582089552
08886fe521e2ff176295468dc519d9f3,18.6218905473
09f52a751a3bd08f2fd4dcc61a046ed0,200.056119403
0e66d92c70e71ca68bc7df03f140ac23,165.016119403
0fb4ae5b4fe04b81ebf63b3eac09c4c3,70.3733333333
1194ab7c994b6a6e775de7260c86068c,19.5900497512
1afc6bc8152648c1a4ea85bc89ab926a,267.575124378
25afb594517b6fc2c6bc85a0c66b667c,166.28199005
278ba239dee396794cbfdd659cef87f6,33.6780099502
2da9f52ad34b5f74308fb4492c9dd134,103.979303483
36c23dfb45da8cda46af63a39d69766c,26.1773134328
3886522fcb4f50f10124f140ae535107,268.850945274
39300c8aac13e03d467f7a274c0a7b6c,53.5428855721
3f366b6605e4121de55f85f4002791c0,31.1932338308
3f75e014e177132805d2777c7c9ddccd,26.3335323383
443ddc6820a4dad1e07abf188b2112af,158.76318408
4d5907b73a2622840152c66ae4b47b09,144.673034826
53a151cc962a0e0f0cfe62c1e6b29810,433.817114428
592d1b0ed845160b9526409972fc2963,319.944676617
6277c358b68c67bb3fcfd7a7515aa59b,156.818706468
660390b51c0c7556d19d14d86f490de4,16.7588059701
89d63b331e9cc8c8677ecf2d62b794da,173.616318408
8b875f224d4fb52377dda158b92379cc,211.057711443
8b9f9dccf83b6b131668989350c210d2,46.9950248756
8e0af4f2274023a7637905cc63e32fba,207.604179104
95f6c93a54de9ba213b74318ef230a9c,33.7950248756
bc515e19f91861bda91eea2c2d89a8d0,36.7323383085
C347.TCGA-17-Z004-01A-01W-0746-08.1,158.834427861
C347.TCGA-18-3407-01A-01D-0983-08.16,712.823880597
C347.TCGA-18-3408-01A-01D-0983-08.16,741.967363184
C347.TCGA-18-3409-01A-01D-0983-08.17,371.013333333
C347.TCGA-18-3412-01A-01D-0983-08.17,288.851741294
C347.TCGA-44-3398-01A-01D-1105-08.5,33.6903482587
C347.TCGA-46-3769-01A-01D-0983-08.17,186.175721393
C347.TCGA-55-1595-01A-01D-0969-08.1,111.958606965
C508.TCGA-21-1082-01A-01D-1521-08.3,33.6913432836
C508.TCGA-21-5782-01A-01D-1632-08.1,9.27303482587
C508.TCGA-22-5480-01A-01D-1632-08.1,7.95820895522
C508.TCGA-34-5236-01A-21D-1817-08.2,11.1695522388
C508.TCGA-39-5019-01A-01D-1817-08.2,9.7615920398
C508.TCGA-43-6771-01A-11D-1817-08.2,16.9180099502
C508.TCGA-56-8304-01A-11D-2323-08.5,9.76358208955
C508.TCGA-56-8623-01A-11D-2395-08.1,30.8555223881
C508.TCGA-56-8626-01A-11D-2395-08.2,12.3498507463
C508.TCGA-60-2713-01A-01D-1522-08.5,24.9176119403
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,50.0602985075
C508.TCGA-66-2780-01A-01D-1522-08.5,16.6672636816
C508.TCGA-77-8145-01A-11D-2244-08.1,168.84278607
C508.TCGA-77-8153-01A-11D-2395-08.1,21.4851741294
C508.TCGA-85-8070-01A-11D-2244-08.1,16.9225870647
