ID,nIGH2,nIGK2,nIGL2,nTCRA2,nTCRB2,nTCRD2,nTCRG2,loadIGH2,loadIGK2,loadIGL2,loadTCRA2,loadTCRB2,loadTCRD2,loadTCRG2,alphaIGH2,alphaIGK2,alphaIGL2,alphaTCRA2,alphaTCRB2,alphaTCRD2,alphaTCRG2
06ab660e-2766-4c97-8f2e-b8495ddc0880_gdc_realn_rehead,0,1,3,8,0,0,0,0,4,10,26,0,0,0,0,-0.0,1.08889997535,1.94481923588,0,0,0
0ade1371-b218-4f01-a39e-b503d30d24e0_gdc_realn_rehead,31,391,118,98,2,0,0,134,1733,424,322,4,0,0,2.97945550308,5.5746943404,4.48001742798,4.22179045942,0.69314718056,0,0
0afa74a0-7a7c-4b48-a253-45070049ceea_gdc_realn_rehead,2,33,17,11,0,1,0,5,117,42,24,0,9,0,0.673011667009,3.29675808256,2.79063124056,2.38354037276,0,-0.0,0
0e0dd65a-4a41-4f6c-9ff9-d3cea84de4d7_gdc_realn_rehead,10,205,98,43,2,2,1,51,810,430,188,4,19,3,1.98504077993,4.96849954276,4.18569757434,3.00988281071,0.69314718056,0.336495757584,-0.0
0f3494df-6f55-4e6e-8e67-b7bfdecc8dec_gdc_realn_rehead,25,105,51,412,4,2,0,177,678,448,3693,11,4,0,3.017661666,4.23300134734,2.60309578277,3.65129012344,1.28825230502,0.69314718056,0
13bddb12-c433-41d4-9953-eda7edaf5efe_gdc_realn_rehead,20,295,95,63,3,5,1,72,1183,532,390,8,13,2,2.82603481578,5.38250702584,3.54215516182,2.56619788566,1.03972077084,1.56495725024,-0.0
1b43fc14-febe-4994-b814-fd9ad938bd0f_gdc_realn_rehead,0,7,2,12,1,0,0,0,19,4,47,2,0,0,0,1.84034079564,0.69314718056,2.02793773673,-0.0,0,0
1bc73950-9b27-4e14-a152-2cca34397565_gdc_realn_rehead,0,32,20,50,0,0,0,0,92,48,27040,0,0,0,0,3.13193789182,2.94174077976,0.147099718116,0,0,0
1c356cd8-5f5b-4357-90ea-d2d23109e284_gdc_realn_rehead,1,7,0,24,1,0,0,2,30,0,109,2,0,0,-0.0,1.89892678934,0,2.57261854977,-0.0,0,0
1cafa993-5138-448f-8a4e-d51d6c38cb28_gdc_realn_rehead,967,1310,530,643,17,6,0,6241,11406,5217,3794,135,32,0,6.28266532883,6.61607910331,5.47972133029,4.6915764713,2.16501851734,1.48355644849,0
200313ec-9822-4203-a4f4-c91f602ac99c_gdc_realn_rehead,3,33,7,10,0,0,0,8,77,19,388,0,0,0,1.03972077084,3.45595418414,1.86423693642,0.383736321996,0,0,0
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead,22,315,165,75,8,2,0,135,3746,2191,960,29,4,0,2.67251775446,3.95174357679,3.47388030854,2.54518420078,1.92687235055,0.69314718056,0
232004bd-7fe6-427a-b4c4-cf5e6b4f1759_gdc_realn_rehead,516,423,304,932,27,8,0,20750,15871,12513,4494,120,165,0,4.44507876258,4.46070127706,4.27796188289,5.29640831035,3.11568213696,1.08631148517,0
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,71,730,268,189,3,7,1,592,16085,3604,6945,12,32,2,3.72356030064,5.18653134648,4.50855873634,1.68873470276,0.867563228481,1.68869931303,-0.0
2360a9b2-fe19-42a6-b802-dcc88adcc1a5_gdc_realn_rehead,348,500,235,353,20,11,1,2152,3918,1198,2248,79,23,2,5.18662337253,4.84160898735,5.1708423599,3.87198163509,2.82408809018,2.38946028214,-0.0
26cdbfd9-801b-42fd-84e7-a8c177f0bd8b_gdc_realn_rehead,0,3,2,11,0,0,0,0,11,4,61,0,0,0,0,0.907535294105,0.69314718056,1.71520342135,0,0,0
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead,83,1084,215,420,8,17,0,394,8366,1311,23304,19,42,0,4.08212756708,6.20987475243,4.78144469015,0.840294390121,2.05922937898,2.73063321239,0
2968a0ca-b550-40e7-8da5-cf771936f77a_gdc_realn_rehead,7,83,40,34,0,0,0,85,757,270,189,0,0,0,1.38171646039,3.46020526689,3.18361890326,2.84728543652,0,0,0
