ID,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
003860a34c9b244a5d8435b220ca5673,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,0,0,0.609508156769,0,0,0
04dad306f9be80db39f4be578091aa11,0,1,0,22,1,0,2,0,2,0,96,3,0,4,0,-0.0,0,2.45003080857,-0.0,0,0.69314718056
08886fe521e2ff176295468dc519d9f3,0,0,0,76,0,1,0,0,0,0,226,0,2,0,0,0,0,3.975465729,0,-0.0,0
09f52a751a3bd08f2fd4dcc61a046ed0,0,0,0,22,1,0,2,0,0,0,94,2,0,4,0,0,0,2.60777840944,-0.0,0,0.69314718056
0e66d92c70e71ca68bc7df03f140ac23,0,0,0,14,0,0,0,0,0,0,69,0,0,0,0,0,0,2.23193726088,0,0,0
0fb4ae5b4fe04b81ebf63b3eac09c4c3,2,3,2,15,2,0,0,6,6,4,103,6,0,0,0.636514168295,1.09861228867,0.69314718056,2.01842583582,0.636514168295,0,0
1194ab7c994b6a6e775de7260c86068c,0,0,0,6,1,0,0,0,0,0,48,2,0,0,0,0,0,1.06274897475,-0.0,0,0
1afc6bc8152648c1a4ea85bc89ab926a,1,1,0,31,0,0,2,2,2,0,137,0,0,5,-0.0,-0.0,0,2.73560268299,0,0,0.673011667009
25afb594517b6fc2c6bc85a0c66b667c,0,0,0,19,0,1,0,0,0,0,103,0,2,0,0,0,0,2.02562153288,0,-0.0,0
278ba239dee396794cbfdd659cef87f6,0,0,0,9,1,0,0,0,0,0,166,5,0,0,0,0,0,0.834399288591,-0.0,0,0
2da9f52ad34b5f74308fb4492c9dd134,0,0,2,13,1,0,1,0,0,4,116,9,0,2,0,0,0.69314718056,1.7180606458,-0.0,0,-0.0
36c23dfb45da8cda46af63a39d69766c,0,0,0,9,1,0,0,0,0,0,52,2,0,0,0,0,0,1.56327021856,-0.0,0,0
3886522fcb4f50f10124f140ae535107,0,1,2,19,0,0,2,0,2,8,152,0,0,4,0,-0.0,0.562335144619,1.95025714033,0,0,0.69314718056
39300c8aac13e03d467f7a274c0a7b6c,0,0,1,7,1,0,0,0,0,2,59,3,0,0,0,0,-0.0,1.16401029159,-0.0,0,0
3f366b6605e4121de55f85f4002791c0,1,1,0,20,2,1,1,2,2,0,127,7,2,2,-0.0,-0.0,0,1.81381723663,0.598269588585,-0.0,-0.0
3f75e014e177132805d2777c7c9ddccd,0,1,0,9,1,0,0,0,4,0,79,8,0,0,0,-0.0,0,1.21212658365,-0.0,0,0
443ddc6820a4dad1e07abf188b2112af,0,1,1,21,0,0,0,0,2,2,94,0,0,0,0,-0.0,-0.0,2.48811180291,0,0,0
4d5907b73a2622840152c66ae4b47b09,0,0,0,18,0,0,0,0,0,0,74,0,0,0,0,0,0,2.49160197275,0,0,0
53a151cc962a0e0f0cfe62c1e6b29810,0,0,3,35,0,0,0,0,0,8,215,0,0,0,0,0,1.08219553004,2.64092017669,0,0,0
592d1b0ed845160b9526409972fc2963,0,0,0,21,0,0,0,0,0,0,108,0,0,0,0,0,0,2.456890038,0,0,0
6277c358b68c67bb3fcfd7a7515aa59b,0,0,0,16,0,0,0,0,0,0,98,0,0,0,0,0,0,1.89663376714,0,0,0
660390b51c0c7556d19d14d86f490de4,0,0,0,20,1,0,0,0,0,0,94,5,0,0,0,0,0,2.07983347971,-0.0,0,0
89d63b331e9cc8c8677ecf2d62b794da,0,0,1,20,1,0,0,0,0,2,91,4,0,0,0,0,-0.0,2.67295126397,-0.0,0,0
8b875f224d4fb52377dda158b92379cc,0,0,1,13,0,0,0,0,0,2,80,0,0,0,0,0,-0.0,1.93416932562,0,0,0
8b9f9dccf83b6b131668989350c210d2,0,0,1,6,0,0,0,0,0,2,55,0,0,0,0,0,-0.0,1.22660546067,0,0,0
8e0af4f2274023a7637905cc63e32fba,0,0,1,19,3,0,0,0,0,6,87,7,0,0,0,0,-0.0,2.33492153493,1.07899220788,0,0
95f6c93a54de9ba213b74318ef230a9c,0,0,0,7,0,0,1,0,0,0,48,0,0,2,0,0,0,1.29043365353,0,0,-0.0
