VJ,count,relative.frequency
TRAV1-TRAJ35,5,0.0515463917526
TRAV1-TRAJ48,2,0.020618556701
TRAV10-TRAJ35,4,0.0412371134021
TRAV14/DV4-TRAJ48,2,0.020618556701
TRAV20-TRAJ48,2,0.020618556701
TRAV23/DV6-TRAJ48,2,0.020618556701
TRAV26-TRAJ35,6,0.0618556701031
TRAV26-TRAJ48,37,0.381443298969
TRAV27-TRAJ35,6,0.0618556701031
TRAV30-TRAJ35,3,0.0309278350515
TRAV34-TRAJ35,4,0.0412371134021
TRAV35-TRAJ35,2,0.020618556701
TRAV35-TRAJ48,5,0.0515463917526
TRAV40-TRAJ35,4,0.0412371134021
TRAV40-TRAJ48,5,0.0515463917526
TRAV6-TRAJ35,4,0.0412371134021
TRAV8-TRAJ48,2,0.020618556701
TRAV9-TRAJ48,2,0.020618556701
