VJ,count,relative.frequency
TRAV1-TRAJ35,32,0.0106171201062
TRAV1-TRAJ48,5,0.00165892501659
TRAV11-TRAJ35,5,0.00165892501659
TRAV11-TRAJ48,6,0.00199071001991
TRAV12-TRAJ35,19,0.00630391506304
TRAV12-TRAJ48,26,0.00862641008626
TRAV13-TRAJ48,7,0.00232249502322
TRAV17-TRAJ48,15,0.00497677504977
TRAV18-TRAJ35,26,0.00862641008626
TRAV2-TRAJ35,5,0.00165892501659
TRAV20-TRAJ35,10,0.00331785003318
TRAV23/DV6-TRAJ48,5,0.00165892501659
TRAV25-TRAJ35,2,0.000663570006636
TRAV26-TRAJ35,27,0.00895819508958
TRAV26-TRAJ48,1399,0.464167219642
TRAV27-TRAJ35,13,0.00431320504313
TRAV27-TRAJ48,4,0.00132714001327
TRAV30-TRAJ35,13,0.00431320504313
TRAV30-TRAJ48,14,0.00464499004645
TRAV34-TRAJ35,42,0.0139349701393
TRAV34-TRAJ48,16,0.00530856005309
TRAV35-TRAJ35,12,0.00398142003981
TRAV35-TRAJ48,273,0.0905773059058
TRAV36/DV7-TRAJ35,5,0.00165892501659
TRAV38-TRAJ35,487,0.161579296616
TRAV38-TRAJ48,11,0.0036496350365
TRAV4-TRAJ35,4,0.00132714001327
TRAV4-TRAJ48,10,0.00331785003318
TRAV40-TRAJ35,48,0.0159256801593
TRAV40-TRAJ48,26,0.00862641008626
TRAV41-TRAJ35,3,0.000995355009954
TRAV6-TRAJ35,72,0.0238885202389
TRAV6-TRAJ48,15,0.00497677504977
TRAV8-TRAJ35,159,0.0527538155275
TRAV8-TRAJ48,176,0.0583941605839
TRAV8-TRAV8,4,0.00132714001327
TRAV9-TRAJ35,6,0.00199071001991
TRAV9-TRAJ48,12,0.00398142003981
