VJ,count,relative.frequency
TRAJ35-TRAJ35,2,0.000897666068223
TRAV1-TRAJ35,16,0.00718132854578
TRAV1-TRAJ48,10,0.00448833034111
TRAV10-TRAJ48,4,0.00179533213645
TRAV11-TRAJ35,10,0.00448833034111
TRAV12-TRAJ35,27,0.012118491921
TRAV12-TRAJ48,6,0.00269299820467
TRAV13-TRAJ35,2,0.000897666068223
TRAV13-TRAJ48,4,0.00179533213645
TRAV14/DV4-TRAJ35,2,0.000897666068223
TRAV17-TRAJ35,6,0.00269299820467
TRAV17-TRAJ48,15,0.00673249551167
TRAV2-TRAJ48,2,0.000897666068223
TRAV20-TRAJ35,281,0.126122082585
TRAV20-TRAJ48,2,0.000897666068223
TRAV22-TRAJ35,2,0.000897666068223
TRAV24-TRAJ35,4,0.00179533213645
TRAV25-TRAJ35,2,0.000897666068223
TRAV26-TRAJ35,34,0.0152603231598
TRAV26-TRAJ48,725,0.325403949731
TRAV26-TRAV26,4,0.00179533213645
TRAV27-TRAJ35,17,0.00763016157989
TRAV27-TRAJ48,23,0.0103231597846
TRAV30-TRAJ35,14,0.00628366247756
TRAV30-TRAJ48,9,0.004039497307
TRAV34-TRAJ35,29,0.0130161579892
TRAV34-TRAJ48,26,0.0116696588869
TRAV35-TRAJ35,27,0.012118491921
TRAV35-TRAJ48,26,0.0116696588869
TRAV36/DV7-TRAJ48,4,0.00179533213645
TRAV38-TRAJ35,121,0.0543087971275
TRAV38-TRAJ48,3,0.00134649910233
TRAV4-TRAJ48,11,0.00493716337522
TRAV40-TRAJ35,21,0.00942549371634
TRAV40-TRAJ48,13,0.00583482944345
TRAV41-TRAJ35,22,0.00987432675045
TRAV41-TRAJ48,2,0.000897666068223
TRAV6-TRAJ35,25,0.0112208258528
TRAV6-TRAJ48,588,0.263913824057
TRAV8-TRAJ35,59,0.0264811490126
TRAV8-TRAJ48,5,0.00224416517056
TRAV9-TRAJ35,10,0.00448833034111
TRAV9-TRAJ48,13,0.00583482944345
