VJ,count,relative.frequency
TRAV1-TRAJ35,23,0.0093954248366
TRAV1-TRAJ48,6,0.00245098039216
TRAV10-TRAJ35,7,0.00285947712418
TRAV11-TRAJ35,16,0.00653594771242
TRAV11-TRAJ48,4,0.0016339869281
TRAV12-TRAJ35,73,0.0298202614379
TRAV12-TRAJ48,29,0.0118464052288
TRAV13-TRAJ35,7,0.00285947712418
TRAV13-TRAJ48,9,0.00367647058824
TRAV14/DV4-TRAJ35,4,0.0016339869281
TRAV14/DV4-TRAJ48,2,0.000816993464052
TRAV16-TRAJ48,2,0.000816993464052
TRAV17-TRAJ35,5,0.00204248366013
TRAV17-TRAJ48,16,0.00653594771242
TRAV18-TRAJ35,2,0.000816993464052
TRAV2-TRAJ35,2,0.000816993464052
TRAV2-TRAJ48,2,0.000816993464052
TRAV20-TRAJ35,87,0.0355392156863
TRAV23/DV6-TRAJ48,2,0.000816993464052
TRAV24-TRAJ35,2,0.000816993464052
TRAV26-TRAJ35,89,0.0363562091503
TRAV26-TRAJ48,156,0.0637254901961
TRAV27-TRAJ35,26,0.0106209150327
TRAV27-TRAJ48,77,0.031454248366
TRAV29/DV5-TRAJ35,2,0.000816993464052
TRAV30-TRAJ35,171,0.0698529411765
TRAV30-TRAJ48,8,0.00326797385621
TRAV34-TRAJ35,95,0.0388071895425
TRAV34-TRAJ48,35,0.0142973856209
TRAV35-TRAJ35,19,0.0077614379085
TRAV35-TRAJ48,21,0.00857843137255
TRAV36/DV7-TRAJ35,10,0.00408496732026
TRAV36/DV7-TRAJ48,6,0.00245098039216
TRAV38-TRAJ35,30,0.0122549019608
TRAV38-TRAJ48,37,0.015114379085
TRAV4-TRAJ35,52,0.0212418300654
TRAV4-TRAJ48,32,0.0130718954248
TRAV40-TRAJ35,92,0.0375816993464
TRAV40-TRAJ48,23,0.0093954248366
TRAV40-TRAJ52,19,0.0077614379085
TRAV41-TRAJ35,3,0.00122549019608
TRAV41-TRAJ48,2,0.000816993464052
TRAV6-TRAJ35,381,0.155637254902
TRAV6-TRAJ48,360,0.147058823529
TRAV8-TRAJ35,85,0.0347222222222
TRAV8-TRAJ48,20,0.00816993464052
TRAV9-TRAJ35,17,0.00694444444444
TRAV9-TRAJ48,280,0.114379084967
