VJ,count,relative.frequency
TRAJ35-TRAJ35,2,0.00161030595813
TRAV1-TRAJ35,10,0.00805152979066
TRAV1-TRAJ48,7,0.00563607085346
TRAV10-TRAJ48,2,0.00161030595813
TRAV11-TRAJ35,3,0.0024154589372
TRAV11-TRAJ48,2,0.00161030595813
TRAV12-TRAJ35,17,0.0136876006441
TRAV12-TRAJ48,5,0.00402576489533
TRAV13-TRAJ48,8,0.00644122383253
TRAV14/DV4-TRAJ35,11,0.00885668276973
TRAV17-TRAJ35,1,0.000805152979066
TRAV17-TRAJ48,4,0.00322061191626
TRAV20-TRAJ35,6,0.0048309178744
TRAV20-TRAJ48,2,0.00161030595813
TRAV25-TRAJ48,2,0.00161030595813
TRAV26-TRAJ35,37,0.0297906602254
TRAV26-TRAJ48,204,0.164251207729
TRAV27-TRAJ35,14,0.0112721417069
TRAV27-TRAJ48,7,0.00563607085346
TRAV30-TRAJ35,19,0.0152979066023
TRAV30-TRAJ48,8,0.00644122383253
TRAV34-TRAJ35,23,0.0185185185185
TRAV34-TRAJ48,30,0.024154589372
TRAV35-TRAJ35,10,0.00805152979066
TRAV35-TRAJ48,5,0.00402576489533
TRAV36/DV7-TRAJ35,2,0.00161030595813
TRAV36/DV7-TRAJ48,3,0.0024154589372
TRAV38-TRAJ35,86,0.0692431561997
TRAV38-TRAJ48,12,0.00966183574879
TRAV4-TRAJ35,7,0.00563607085346
TRAV4-TRAJ48,7,0.00563607085346
TRAV40-TRAJ35,17,0.0136876006441
TRAV40-TRAJ48,14,0.0112721417069
TRAV6-TRAJ35,16,0.0128824476651
TRAV6-TRAJ48,580,0.466988727858
TRAV8-TRAJ35,21,0.0169082125604
TRAV8-TRAJ36,3,0.0024154589372
TRAV8-TRAJ48,23,0.0185185185185
TRAV9-TRAJ35,2,0.00161030595813
TRAV9-TRAJ48,10,0.00805152979066
