VJ,count,relative.frequency
TRAV1-TRAJ48,4,0.00655737704918
TRAV17-TRAJ35,4,0.00655737704918
TRAV2-TRAJ48,9,0.0147540983607
TRAV26-TRAJ35,14,0.0229508196721
TRAV26-TRAJ48,508,0.832786885246
TRAV27-TRAJ48,2,0.00327868852459
TRAV3-TRAJ48,4,0.00655737704918
TRAV30-TRAJ35,2,0.00327868852459
TRAV30-TRAJ48,25,0.0409836065574
TRAV34-TRAJ35,4,0.00655737704918
TRAV35-TRAJ48,2,0.00327868852459
TRAV38-TRAJ48,4,0.00655737704918
TRAV5-TRAJ48,3,0.00491803278689
TRAV6-TRAJ48,2,0.00327868852459
TRAV8-TRAJ48,2,0.00327868852459
TRAV9-TRAJ35,11,0.0180327868852
TRAV9-TRAJ48,10,0.016393442623
