VJ,count,relative.frequency
TRAV1-TRAJ35,2,0.0111111111111
TRAV1-TRAJ48,2,0.0111111111111
TRAV12-TRAJ48,2,0.0111111111111
TRAV13-TRAJ35,2,0.0111111111111
TRAV16-TRAJ35,3,0.0166666666667
TRAV17-TRAJ35,2,0.0111111111111
TRAV26-TRAJ35,12,0.0666666666667
TRAV26-TRAJ48,130,0.722222222222
TRAV27-TRAJ35,2,0.0111111111111
TRAV27-TRAJ48,2,0.0111111111111
TRAV3-TRAJ48,2,0.0111111111111
TRAV30-TRAJ48,4,0.0222222222222
TRAV34-TRAJ35,8,0.0444444444444
TRAV35-TRAJ35,2,0.0111111111111
TRAV40-TRAJ35,2,0.0111111111111
TRAV8-TRAJ48,3,0.0166666666667
