VJ,count,relative.frequency
TRAV1-TRAJ35,21,0.00872093023256
TRAV1-TRAJ48,2,0.000830564784053
TRAV10-TRAJ35,2,0.000830564784053
TRAV10-TRAJ48,8,0.00332225913621
TRAV11-TRAJ35,4,0.00166112956811
TRAV11-TRAJ48,2,0.000830564784053
TRAV12-TRAJ35,34,0.0141196013289
TRAV12-TRAJ48,50,0.0207641196013
TRAV13-TRAJ35,10,0.00415282392027
TRAV13-TRAJ48,11,0.00456810631229
TRAV14/DV4-TRAJ35,2,0.000830564784053
TRAV17-TRAJ35,8,0.00332225913621
TRAV17-TRAJ48,13,0.00539867109635
TRAV19-TRAJ35,2,0.000830564784053
TRAV2-TRAJ48,2,0.000830564784053
TRAV20-TRAJ35,4,0.00166112956811
TRAV20-TRAJ48,2,0.000830564784053
TRAV23/DV6-TRAJ48,5,0.00207641196013
TRAV24-TRAJ35,2,0.000830564784053
TRAV26-TRAJ35,339,0.140780730897
TRAV26-TRAJ48,429,0.178156146179
TRAV27-TRAJ35,26,0.0107973421927
TRAV27-TRAJ48,7,0.00290697674419
TRAV30-TRAJ22,1,0.000415282392027
TRAV30-TRAJ35,14,0.00581395348837
TRAV30-TRAJ48,36,0.014950166113
TRAV34-TRAJ35,24,0.00996677740864
TRAV34-TRAJ48,932,0.387043189369
TRAV34-TRAV34,8,0.00332225913621
TRAV35-TRAJ35,12,0.00498338870432
TRAV35-TRAJ48,19,0.0078903654485
TRAV36/DV7-TRAJ35,8,0.00332225913621
TRAV36/DV7-TRAJ48,2,0.000830564784053
TRAV38-TRAJ35,163,0.0676910299003
TRAV38-TRAJ48,15,0.0062292358804
TRAV4-TRAJ35,12,0.00498338870432
TRAV4-TRAJ48,7,0.00290697674419
TRAV40-TRAJ35,34,0.0141196013289
TRAV40-TRAJ48,28,0.0116279069767
TRAV6-TRAJ35,12,0.00498338870432
TRAV6-TRAJ48,16,0.00664451827243
TRAV7-TRAJ48,3,0.00124584717608
TRAV8-TRAJ35,53,0.0220099667774
TRAV8-TRAJ48,8,0.00332225913621
TRAV9-TRAJ35,12,0.00498338870432
TRAV9-TRAJ48,4,0.00166112956811
