VJ,count,relative.frequency
TRAV1-TRAJ35,10,0.0140056022409
TRAV1-TRAJ48,6,0.00840336134454
TRAV17-TRAJ35,2,0.00280112044818
TRAV17-TRAJ48,2,0.00280112044818
TRAV26-TRAJ35,23,0.0322128851541
TRAV26-TRAJ48,590,0.826330532213
TRAV27-TRAJ35,2,0.00280112044818
TRAV30-TRAJ48,4,0.00560224089636
TRAV34-TRAJ35,13,0.0182072829132
TRAV34-TRAJ48,4,0.00560224089636
TRAV38-TRAJ48,3,0.00420168067227
TRAV4-TRAJ48,2,0.00280112044818
TRAV40-TRAJ35,10,0.0140056022409
TRAV40-TRAJ48,2,0.00280112044818
TRAV6-TRAJ48,10,0.0140056022409
TRAV9-TRAJ35,23,0.0322128851541
TRAV9-TRAJ48,8,0.0112044817927
