VJ,count,relative.frequency
TRAV1-TRAJ35,6,0.00695249130939
TRAV1-TRAJ48,2,0.00231749710313
TRAV10-TRAJ35,2,0.00231749710313
TRAV10-TRAJ48,2,0.00231749710313
TRAV12-TRAJ35,40,0.0463499420626
TRAV12-TRAJ48,10,0.0115874855156
TRAV12-TRAV12,2,0.00231749710313
TRAV13-TRAJ35,6,0.00695249130939
TRAV14/DV4-TRAJ48,2,0.00231749710313
TRAV16-TRAJ35,3,0.00347624565469
TRAV17-TRAJ35,6,0.00695249130939
TRAV17-TRAJ48,2,0.00231749710313
TRAV2-TRAJ48,3,0.00347624565469
TRAV20-TRAJ35,12,0.0139049826188
TRAV20-TRAJ48,4,0.00463499420626
TRAV24-TRAJ35,3,0.00347624565469
TRAV24-TRAJ48,2,0.00231749710313
TRAV25-TRAJ35,2,0.00231749710313
TRAV26-TRAJ35,336,0.389339513326
TRAV26-TRAJ48,16,0.018539976825
TRAV27-TRAJ23,2,0.00231749710313
TRAV27-TRAJ35,22,0.0254924681344
TRAV27-TRAJ48,24,0.0278099652375
TRAV30-TRAJ35,12,0.0139049826188
TRAV30-TRAJ48,7,0.00811123986095
TRAV30-TRAV30,3,0.00347624565469
TRAV34-TRAJ35,24,0.0278099652375
TRAV34-TRAJ48,23,0.026651216686
TRAV35-TRAJ35,21,0.0243337195829
TRAV35-TRAJ48,6,0.00695249130939
TRAV36/DV7-TRAJ35,2,0.00231749710313
TRAV38-TRAJ35,132,0.152954808806
TRAV4-TRAJ35,2,0.00231749710313
TRAV40-TRAJ35,44,0.0509849362688
TRAV40-TRAJ48,20,0.0231749710313
TRAV6-TRAJ35,12,0.0139049826188
TRAV6-TRAJ48,4,0.00463499420626
TRAV8-TRAJ35,23,0.026651216686
TRAV8-TRAJ48,12,0.0139049826188
TRAV8-TRAV8,4,0.00463499420626
TRAV9-TRAJ35,3,0.00347624565469
