VJ,count,relative.frequency
TRAV1-TRAJ35,152,0.0365033621518
TRAV1-TRAJ48,2,0.000480307396734
TRAV10-TRAJ35,4,0.000960614793468
TRAV10-TRAJ48,6,0.0014409221902
TRAV11-TRAJ35,7,0.00168107588857
TRAV11-TRAJ48,5,0.00120076849183
TRAV12-TRAJ35,10,0.00240153698367
TRAV12-TRAJ48,15,0.0036023054755
TRAV12-TRAV12,28,0.00672430355427
TRAV13-TRAJ35,2,0.000480307396734
TRAV13-TRAJ48,7,0.00168107588857
TRAV16-TRAJ48,2,0.000480307396734
TRAV17-TRAJ35,4,0.000960614793468
TRAV17-TRAJ48,18,0.00432276657061
TRAV20-TRAJ35,13,0.00312199807877
TRAV23/DV6-TRAJ48,2,0.000480307396734
TRAV24-TRAJ35,2,0.000480307396734
TRAV26-TRAJ35,22,0.00528338136407
TRAV26-TRAJ42,4,0.000960614793468
TRAV26-TRAJ48,68,0.016330451489
TRAV27-TRAJ35,12,0.0028818443804
TRAV27-TRAJ48,8,0.00192122958694
TRAV30-TRAJ35,34,0.00816522574448
TRAV30-TRAJ48,2,0.000480307396734
TRAV34-TRAJ35,29,0.00696445725264
TRAV34-TRAJ48,16,0.00384245917387
TRAV35-TRAJ35,18,0.00432276657061
TRAV35-TRAJ48,2,0.000480307396734
TRAV36/DV7-TRAJ35,6,0.0014409221902
TRAV36/DV7-TRAJ48,2,0.000480307396734
TRAV38-TRAJ35,103,0.0247358309318
TRAV38-TRAJ48,7,0.00168107588857
TRAV39-TRAJ48,3380,0.81171950048
TRAV4-TRAJ35,2,0.000480307396734
TRAV40-TRAJ35,28,0.00672430355427
TRAV40-TRAJ48,34,0.00816522574448
TRAV41-TRAJ35,4,0.000960614793468
TRAV41-TRAJ48,3,0.000720461095101
TRAV5-TRAJ35,17,0.00408261287224
TRAV5-TRAJ48,5,0.00120076849183
TRAV6-TRAJ35,6,0.0014409221902
TRAV6-TRAJ48,6,0.0014409221902
TRAV8-TRAJ35,31,0.00744476464938
TRAV8-TRAJ48,22,0.00528338136407
TRAV9-TRAJ35,7,0.00168107588857
TRAV9-TRAJ48,7,0.00168107588857
