VJ,count,relative.frequency
TRAV1-TRAJ14,4,0.00255591054313
TRAV1-TRAJ35,3,0.00191693290735
TRAV1-TRAJ48,10,0.00638977635783
TRAV14/DV4-TRAJ48,3,0.00191693290735
TRAV17-TRAJ35,4,0.00255591054313
TRAV17-TRAJ48,21,0.0134185303514
TRAV23/DV6-TRAJ48,3,0.00191693290735
TRAV26-TRAJ35,45,0.0287539936102
TRAV26-TRAJ48,1298,0.829392971246
TRAV27-TRAJ48,2,0.00127795527157
TRAV30-TRAJ48,2,0.00127795527157
TRAV34-TRAJ35,123,0.0785942492013
TRAV35-TRAJ35,2,0.00127795527157
TRAV36/DV7-TRAJ48,2,0.00127795527157
TRAV38-TRAJ35,2,0.00127795527157
TRAV38-TRAJ48,4,0.00255591054313
TRAV4-TRAJ48,2,0.00127795527157
TRAV40-TRAJ35,2,0.00127795527157
TRAV40-TRAJ48,6,0.0038338658147
TRAV5-TRAJ48,4,0.00255591054313
TRAV6-TRAJ35,4,0.00255591054313
TRAV6-TRAJ48,7,0.00447284345048
TRAV8-TRAJ35,7,0.00447284345048
TRAV8-TRAJ48,5,0.00319488817891
