VJ,count,relative.frequency
TRAV1-TRAJ35,3,0.00765306122449
TRAV10-TRAJ35,2,0.00510204081633
TRAV11-TRAJ35,2,0.00510204081633
TRAV13-TRAJ35,2,0.00510204081633
TRAV17-TRAJ48,9,0.0229591836735
TRAV26-TRAJ35,4,0.0102040816327
TRAV26-TRAJ48,346,0.882653061224
TRAV30-TRAJ48,2,0.00510204081633
TRAV34-TRAJ35,2,0.00510204081633
TRAV35-TRAJ35,4,0.0102040816327
TRAV40-TRAJ48,5,0.0127551020408
TRAV5-TRAJ48,2,0.00510204081633
TRAV6-TRAJ48,2,0.00510204081633
TRAV8-TRAJ35,2,0.00510204081633
TRAV8-TRAJ48,2,0.00510204081633
TRAV9-TRAJ35,3,0.00765306122449
