VJ,count,relative.frequency
TRAV1-TRAJ35,802,0.0128002553667
TRAV1-TRAJ48,393,0.00627244433804
TRAV10-TRAJ35,12,0.000191525017955
TRAV10-TRAJ48,3,4.78812544889e-05
TRAV11-TRAJ35,2,3.19208363259e-05
TRAV11-TRAJ48,2,3.19208363259e-05
TRAV12-TRAJ35,35,0.000558614635703
TRAV12-TRAJ48,147,0.00234618146995
TRAV13-TRAJ48,19,0.000303247945096
TRAV17-TRAJ35,14,0.000223445854281
TRAV17-TRAJ48,39,0.000622456308355
TRAV18-TRAJ35,2,3.19208363259e-05
TRAV19-TRAJ35,4,6.38416726518e-05
TRAV2-TRAJ35,2,3.19208363259e-05
TRAV2-TRAJ48,2,3.19208363259e-05
TRAV20-TRAJ35,57905,0.924188013726
TRAV20-TRAJ48,6,9.57625089777e-05
TRAV23/DV6-TRAJ35,2,3.19208363259e-05
TRAV24-TRAJ35,4,6.38416726518e-05
TRAV24-TRAJ48,2,3.19208363259e-05
TRAV26-TRAJ35,244,0.00389434203176
TRAV26-TRAJ48,1553,0.0247865294071
TRAV26-TRAJ57,6,9.57625089777e-05
TRAV27-TRAJ35,55,0.000877822998963
TRAV27-TRAJ48,45,0.000718218817333
TRAV30-TRAJ35,25,0.000399010454074
TRAV30-TRAJ48,18,0.000287287526933
TRAV30-TRAJ52,5,7.98020908148e-05
TRAV34-TRAJ14,2,3.19208363259e-05
TRAV34-TRAJ35,69,0.00110126885324
TRAV34-TRAJ48,25,0.000399010454074
TRAV34-TRAV34,9,0.000143643763467
TRAV35-TRAJ35,26,0.000414970872237
TRAV35-TRAJ48,29,0.000462852126726
TRAV36/DV7-TRAJ35,3,4.78812544889e-05
TRAV36/DV7-TRAJ48,2,3.19208363259e-05
TRAV38-TRAJ35,65,0.00103742718059
TRAV38-TRAJ48,183,0.00292075652382
TRAV4-TRAJ35,44,0.00070225839917
TRAV4-TRAJ48,11,0.000175564599793
TRAV40-TRAJ35,69,0.00110126885324
TRAV40-TRAJ48,595,0.00949644880696
TRAV41-TRAJ48,2,3.19208363259e-05
TRAV6-TRAJ35,11,0.000175564599793
TRAV6-TRAJ48,34,0.00054265421754
TRAV8-TRAJ35,67,0.00106934801692
TRAV8-TRAJ48,35,0.000558614635703
TRAV9-TRAJ35,19,0.000303247945096
TRAV9-TRAJ48,7,0.000111722927141
