VJ,count,relative.frequency
TRAV1-TRAJ35,14,0.00851581508516
TRAV1-TRAJ48,11,0.00669099756691
TRAV10-TRAJ35,12,0.00729927007299
TRAV10-TRAJ48,4,0.00243309002433
TRAV11-TRAJ35,2,0.00121654501217
TRAV12-TRAJ35,322,0.195863746959
TRAV12-TRAJ48,16,0.00973236009732
TRAV12-TRAV12,23,0.0139902676399
TRAV13-TRAJ35,12,0.00729927007299
TRAV13-TRAJ48,17,0.0103406326034
TRAV14/DV4-TRAJ35,6,0.0036496350365
TRAV17-TRAJ35,2,0.00121654501217
TRAV17-TRAJ48,3,0.00182481751825
TRAV18-TRAV18,7,0.00425790754258
TRAV19-TRAJ35,4,0.00243309002433
TRAV2-TRAJ48,3,0.00182481751825
TRAV20-TRAJ35,14,0.00851581508516
TRAV20-TRAJ48,21,0.0127737226277
TRAV23/DV6-TRAJ48,22,0.0133819951338
TRAV25-TRAJ48,2,0.00121654501217
TRAV26-TRAJ35,45,0.0273722627737
TRAV26-TRAJ36,2,0.00121654501217
TRAV26-TRAJ48,31,0.0188564476886
TRAV27-TRAJ35,21,0.0127737226277
TRAV27-TRAJ48,4,0.00243309002433
TRAV29/DV5-TRAJ35,2,0.00121654501217
TRAV30-TRAJ35,12,0.00729927007299
TRAV30-TRAJ48,18,0.0109489051095
TRAV34-TRAJ35,33,0.0200729927007
TRAV34-TRAJ48,19,0.0115571776156
TRAV35-TRAJ35,15,0.00912408759124
TRAV35-TRAJ48,4,0.00243309002433
TRAV36/DV7-TRAJ35,6,0.0036496350365
TRAV36/DV7-TRAJ48,3,0.00182481751825
TRAV38-TRAJ35,27,0.0164233576642
TRAV38-TRAJ48,20,0.0121654501217
TRAV4-TRAJ35,162,0.0985401459854
TRAV4-TRAJ48,2,0.00121654501217
TRAV40-TRAJ35,61,0.037104622871
TRAV40-TRAJ48,38,0.0231143552311
TRAV41-TRAJ35,2,0.00121654501217
TRAV6-TRAJ35,10,0.00608272506083
TRAV6-TRAJ48,495,0.301094890511
TRAV8-TRAJ35,49,0.0298053527981
TRAV8-TRAJ48,32,0.0194647201946
TRAV9-TRAJ35,7,0.00425790754258
TRAV9-TRAJ48,7,0.00425790754258
