VJ,count,relative.frequency
TRAV1-TRAJ35,6,0.00124300807955
TRAV1-TRAJ48,8,0.00165734410607
TRAV10-TRAJ35,6,0.00124300807955
TRAV10-TRAJ48,7,0.00145017609281
TRAV11-TRAJ35,16,0.00331468821214
TRAV12-TRAJ35,63,0.0130515848353
TRAV12-TRAJ48,9,0.00186451211933
TRAV13-TRAJ35,4,0.000828672053035
TRAV13-TRAJ48,3,0.000621504039776
TRAV14/DV4-TRAJ35,3,0.000621504039776
TRAV14/DV4-TRAJ48,3,0.000621504039776
TRAV17-TRAJ35,8,0.00165734410607
TRAV17-TRAJ48,5,0.00103584006629
TRAV18-TRAJ35,6,0.00124300807955
TRAV19-TRAJ35,2,0.000414336026518
TRAV20-TRAJ35,1897,0.392997721152
TRAV20-TRAJ48,6,0.00124300807955
TRAV23/DV6-TRAJ35,2,0.000414336026518
TRAV23/DV6-TRAJ48,4,0.000828672053035
TRAV25-TRAJ35,2,0.000414336026518
TRAV25-TRAJ48,19,0.00393619225192
TRAV26-TRAJ35,206,0.0426766107313
TRAV26-TRAJ48,25,0.00517920033147
TRAV27-TRAJ35,15,0.00310752019888
TRAV27-TRAJ48,12,0.00248601615911
TRAV3-TRAJ35,2,0.000414336026518
TRAV30-TRAJ35,14,0.00290035218562
TRAV30-TRAJ48,6,0.00124300807955
TRAV34-TRAJ35,37,0.00766521649057
TRAV34-TRAJ48,688,0.142531593122
TRAV35-TRAJ35,14,0.00290035218562
TRAV35-TRAJ48,29,0.0060078723845
TRAV36/DV7-TRAJ35,6,0.00124300807955
TRAV38-TRAJ35,27,0.00559353635799
TRAV38-TRAJ48,241,0.0499274911954
TRAV39-TRAJ48,792,0.164077066501
TRAV4-TRAJ35,6,0.00124300807955
TRAV4-TRAJ48,4,0.000828672053035
TRAV40-TRAJ35,74,0.0153304329811
TRAV40-TRAJ48,15,0.00310752019888
TRAV41-TRAJ48,2,0.000414336026518
TRAV5-TRAJ48,2,0.000414336026518
TRAV6-TRAJ35,6,0.00124300807955
TRAV6-TRAJ48,410,0.0849388854361
TRAV8-TRAJ35,49,0.0101512326497
TRAV8-TRAJ48,56,0.0116014087425
TRAV9-TRAJ35,10,0.00207168013259
