VJ,count,relative.frequency
TRAV1-TRAJ48,2,0.00251572327044
TRAV11-TRAJ35,2,0.00251572327044
TRAV12-TRAJ35,2,0.00251572327044
TRAV17-TRAJ35,45,0.0566037735849
TRAV20-TRAJ35,2,0.00251572327044
TRAV20-TRAJ48,4,0.00503144654088
TRAV26-TRAJ20,2,0.00251572327044
TRAV26-TRAJ35,88,0.110691823899
TRAV26-TRAJ48,575,0.723270440252
TRAV27-TRAJ35,2,0.00251572327044
TRAV27-TRAJ48,6,0.00754716981132
TRAV3-TRAJ35,2,0.00251572327044
TRAV30-TRAJ48,2,0.00251572327044
TRAV34-TRAJ35,2,0.00251572327044
TRAV34-TRAJ48,2,0.00251572327044
TRAV35-TRAJ48,2,0.00251572327044
TRAV4-TRAJ35,2,0.00251572327044
TRAV40-TRAJ48,2,0.00251572327044
TRAV6-TRAJ48,7,0.00880503144654
TRAV8-TRAJ35,6,0.00754716981132
TRAV8-TRAJ48,2,0.00251572327044
TRAV9-TRAJ35,2,0.00251572327044
TRAV9-TRAJ48,34,0.0427672955975
