VJ,count,relative.frequency
TRAV1-TRAJ35,23,0.0341753343239
TRAV1-TRAJ48,15,0.0222882615156
TRAV10-TRAJ48,3,0.00445765230312
TRAV11-TRAJ35,5,0.0074294205052
TRAV13-TRAJ35,3,0.00445765230312
TRAV26-TRAJ35,82,0.121842496285
TRAV26-TRAJ48,479,0.711738484398
TRAV27-TRAJ35,4,0.00594353640416
TRAV30-TRAJ35,4,0.00594353640416
TRAV34-TRAJ35,11,0.0163447251114
TRAV35-TRAJ35,3,0.00445765230312
TRAV36/DV7-TRAJ48,2,0.00297176820208
TRAV39-TRAJ35,5,0.0074294205052
TRAV40-TRAJ48,2,0.00297176820208
TRAV6-TRAJ48,27,0.0401188707281
TRAV8-TRAJ48,5,0.0074294205052
