VJ,count,relative.frequency
TRAV1-TRAJ48,5,0.0106837606838
TRAV10-TRAJ35,3,0.00641025641026
TRAV13-TRAJ35,2,0.0042735042735
TRAV16-TRAJ48,5,0.0106837606838
TRAV2-TRAJ35,5,0.0106837606838
TRAV20-TRAJ35,3,0.00641025641026
TRAV20-TRAJ48,5,0.0106837606838
TRAV26-TRAJ35,34,0.0726495726496
TRAV26-TRAJ48,341,0.728632478632
TRAV27-TRAJ35,4,0.00854700854701
TRAV27-TRAJ48,2,0.0042735042735
TRAV30-TRAJ35,4,0.00854700854701
TRAV30-TRAJ48,6,0.0128205128205
TRAV34-TRAJ35,2,0.0042735042735
TRAV38-TRAJ48,4,0.00854700854701
TRAV4-TRAJ35,4,0.00854700854701
TRAV40-TRAJ48,3,0.00641025641026
TRAV6-TRAJ48,36,0.0769230769231
