VJ,count,relative.frequency
TRAV1-TRAJ35,9,0.00709779179811
TRAV12-TRAJ48,4,0.00315457413249
TRAV17-TRAJ35,5,0.00394321766562
TRAV17-TRAJ48,2,0.00157728706625
TRAV23/DV6-TRAJ48,7,0.00552050473186
TRAV24-TRAJ48,2,0.00157728706625
TRAV26-TRAJ35,65,0.051261829653
TRAV26-TRAJ48,1081,0.852523659306
TRAV27-TRAJ48,21,0.0165615141956
TRAV30-TRAJ35,17,0.0134069400631
TRAV30-TRAJ48,6,0.00473186119874
TRAV34-TRAJ35,7,0.00552050473186
TRAV35-TRAJ35,3,0.00236593059937
TRAV38-TRAJ48,11,0.00867507886435
TRAV4-TRAJ48,4,0.00315457413249
TRAV40-TRAJ35,4,0.00315457413249
TRAV40-TRAJ48,15,0.0118296529968
TRAV6-TRAJ35,2,0.00157728706625
TRAV6-TRAJ48,3,0.00236593059937
