VJ,count,relative.frequency
TRAJ35-TRAJ35,2,0.00034566194262
TRAV1-TRAJ35,122,0.0210853784998
TRAV1-TRAJ48,11,0.00190114068441
TRAV10-TRAJ48,2,0.00034566194262
TRAV12-TRAJ35,13,0.00224680262703
TRAV12-TRAJ48,27,0.00466643622537
TRAV12-TRAV12,24,0.00414794331144
TRAV13-TRAJ48,2,0.00034566194262
TRAV16-TRAJ35,2,0.00034566194262
TRAV17-TRAJ35,3,0.00051849291393
TRAV17-TRAJ48,2,0.00034566194262
TRAV20-TRAJ35,21,0.00362945039751
TRAV20-TRAJ48,46,0.00795022468026
TRAV24-TRAJ35,2,0.00034566194262
TRAV24-TRAJ48,4,0.00069132388524
TRAV26-TRAJ35,17,0.00293812651227
TRAV26-TRAJ48,169,0.0292084341514
TRAV26-TRAJ57,2,0.00034566194262
TRAV27-TRAJ35,12,0.00207397165572
TRAV27-TRAJ48,10,0.0017283097131
TRAV30-TRAJ35,20,0.0034566194262
TRAV30-TRAJ48,14,0.00241963359834
TRAV34-TRAJ35,28,0.00483926719668
TRAV34-TRAJ48,11,0.00190114068441
TRAV35-TRAJ35,15,0.00259246456965
TRAV35-TRAJ48,4,0.00069132388524
TRAV36/DV7-TRAJ35,2,0.00034566194262
TRAV36/DV7-TRAJ48,7,0.00120981679917
TRAV38-TRAJ35,86,0.0148634635327
TRAV38-TRAJ48,297,0.0513307984791
TRAV4-TRAJ35,6,0.00103698582786
TRAV40-TRAJ35,31,0.00535776011061
TRAV40-TRAJ48,15,0.00259246456965
TRAV40-TRAV40,2,0.00034566194262
TRAV41-TRAJ35,2,0.00034566194262
TRAV6-TRAJ35,4062,0.702039405461
TRAV6-TRAJ48,563,0.0973038368476
TRAV8-TRAJ35,87,0.015036294504
TRAV8-TRAJ48,26,0.00449360525406
TRAV9-TRAJ35,11,0.00190114068441
TRAV9-TRAJ48,4,0.00069132388524
