VJ,count,relative.frequency
TRAV1-TRAJ48,15,0.00969618616677
TRAV11-TRAJ35,2,0.00129282482224
TRAV12-TRAJ35,3,0.00193923723335
TRAV16-TRAJ48,2,0.00129282482224
TRAV17-TRAJ35,40,0.0258564964447
TRAV17-TRAJ48,4,0.00258564964447
TRAV2-TRAJ35,2,0.00129282482224
TRAV25-TRAJ35,11,0.0071105365223
TRAV25-TRAJ48,3,0.00193923723335
TRAV26-TRAJ35,116,0.0749838396897
TRAV26-TRAJ48,1304,0.842921784098
TRAV30-TRAJ48,2,0.00129282482224
TRAV34-TRAJ35,4,0.00258564964447
TRAV35-TRAJ35,2,0.00129282482224
TRAV35-TRAJ48,4,0.00258564964447
TRAV40-TRAJ35,5,0.00323206205559
TRAV40-TRAJ48,10,0.00646412411118
TRAV6-TRAJ48,10,0.00646412411118
TRAV8-TRAJ35,4,0.00258564964447
TRAV8-TRAJ48,4,0.00258564964447
