VJ,count,relative.frequency
TRAV1-TRAJ35,12,0.0355029585799
TRAV1-TRAJ48,4,0.0118343195266
TRAV10-TRAJ35,2,0.00591715976331
TRAV11-TRAJ35,2,0.00591715976331
TRAV11-TRAJ48,4,0.0118343195266
TRAV12-TRAJ35,27,0.0798816568047
TRAV12-TRAJ48,3,0.00887573964497
TRAV14/DV4-TRAJ48,2,0.00591715976331
TRAV20-TRAJ48,4,0.0118343195266
TRAV25-TRAJ35,4,0.0118343195266
TRAV26-TRAJ35,6,0.0177514792899
TRAV26-TRAJ48,16,0.0473372781065
TRAV27-TRAJ48,2,0.00591715976331
TRAV30-TRAJ35,15,0.0443786982249
TRAV30-TRAJ48,2,0.00591715976331
TRAV34-TRAJ35,24,0.0710059171598
TRAV34-TRAJ48,4,0.0118343195266
TRAV35-TRAJ35,17,0.0502958579882
TRAV35-TRAJ48,4,0.0118343195266
TRAV38-TRAJ35,52,0.153846153846
TRAV4-TRAJ48,2,0.00591715976331
TRAV40-TRAJ35,28,0.0828402366864
TRAV40-TRAJ48,6,0.0177514792899
TRAV6-TRAJ35,2,0.00591715976331
TRAV6-TRAJ48,55,0.162721893491
TRAV8-TRAJ35,27,0.0798816568047
TRAV9-TRAJ35,8,0.0236686390533
TRAV9-TRAJ48,4,0.0118343195266
