VJ,count,relative.frequency
TRAV1-TRAJ35,6,0.0107913669065
TRAV1-TRAJ48,6,0.0107913669065
TRAV10-TRAJ35,4,0.00719424460432
TRAV10-TRAJ48,2,0.00359712230216
TRAV11-TRAJ48,3,0.00539568345324
TRAV12-TRAJ35,52,0.0935251798561
TRAV12-TRAJ48,12,0.0215827338129
TRAV13-TRAJ35,2,0.00359712230216
TRAV13-TRAJ48,6,0.0107913669065
TRAV14/DV4-TRAJ35,7,0.0125899280576
TRAV16-TRAJ48,2,0.00359712230216
TRAV17-TRAJ35,8,0.0143884892086
TRAV18-TRAJ35,6,0.0107913669065
TRAV19-TRAJ35,2,0.00359712230216
TRAV20-TRAJ35,10,0.0179856115108
TRAV20-TRAJ48,31,0.0557553956835
TRAV23/DV6-TRAJ48,2,0.00359712230216
TRAV26-TRAJ35,27,0.0485611510791
TRAV26-TRAJ48,12,0.0215827338129
TRAV27-TRAJ35,20,0.0359712230216
TRAV27-TRAJ48,9,0.0161870503597
TRAV30-TRAJ35,14,0.0251798561151
TRAV30-TRAJ48,7,0.0125899280576
TRAV34-TRAJ35,19,0.0341726618705
TRAV34-TRAJ48,22,0.0395683453237
TRAV35-TRAJ35,6,0.0107913669065
TRAV35-TRAJ48,9,0.0161870503597
TRAV35-TRAV35,2,0.00359712230216
TRAV36/DV7-TRAJ35,2,0.00359712230216
TRAV36/DV7-TRAJ48,2,0.00359712230216
TRAV38-TRAJ35,36,0.0647482014388
TRAV38-TRAJ48,28,0.0503597122302
TRAV4-TRAJ35,4,0.00719424460432
TRAV4-TRAJ48,5,0.0089928057554
TRAV40-TRAJ35,50,0.089928057554
TRAV40-TRAJ48,25,0.044964028777
TRAV41-TRAJ48,4,0.00719424460432
TRAV6-TRAJ35,4,0.00719424460432
TRAV6-TRAJ48,12,0.0215827338129
TRAV8-TRAJ35,34,0.0611510791367
TRAV8-TRAJ48,30,0.0539568345324
TRAV9-TRAJ35,10,0.0179856115108
TRAV9-TRAJ48,2,0.00359712230216
