VJ,count,relative.frequency
TRAJ35-TRAJ35,14,0.004158004158
TRAJ48-TRAJ48,3,0.000891000891001
TRAV1-TRAJ35,9,0.002673002673
TRAV1-TRAJ48,2,0.000594000594001
TRAV10-TRAJ35,38,0.011286011286
TRAV11-TRAJ35,6,0.001782001782
TRAV11-TRAJ48,2,0.000594000594001
TRAV12-TRAJ35,88,0.026136026136
TRAV12-TRAJ48,56,0.016632016632
TRAV12-TRAV12,2,0.000594000594001
TRAV14/DV4-TRAJ35,2,0.000594000594001
TRAV17-TRAJ35,11,0.003267003267
TRAV17-TRAJ48,6,0.001782001782
TRAV18-TRAJ35,4,0.001188001188
TRAV18-TRAJ48,3,0.000891000891001
TRAV2-TRAJ48,22,0.00653400653401
TRAV20-TRAJ35,9,0.002673002673
TRAV20-TRAJ48,8,0.002376002376
TRAV23/DV6-TRAJ35,3,0.000891000891001
TRAV24-TRAJ48,10,0.00297000297
TRAV25-TRAJ48,7,0.002079002079
TRAV26-TRAJ35,624,0.185328185328
TRAV26-TRAJ48,117,0.034749034749
TRAV27-TRAJ35,15,0.004455004455
TRAV27-TRAJ48,54,0.016038016038
TRAV30-TRAJ35,925,0.274725274725
TRAV30-TRAJ48,15,0.004455004455
TRAV34-TRAJ35,69,0.020493020493
TRAV34-TRAJ48,148,0.043956043956
TRAV34-TRAV34,22,0.00653400653401
TRAV35-TRAJ35,46,0.013662013662
TRAV35-TRAJ48,102,0.030294030294
TRAV36/DV7-TRAJ35,60,0.01782001782
TRAV36/DV7-TRAJ48,8,0.002376002376
TRAV38-TRAJ35,138,0.040986040986
TRAV38-TRAJ48,18,0.00534600534601
TRAV4-TRAJ35,81,0.024057024057
TRAV4-TRAJ48,2,0.000594000594001
TRAV40-TRAJ35,109,0.032373032373
TRAV40-TRAJ48,59,0.017523017523
TRAV41-TRAJ35,4,0.001188001188
TRAV41-TRAJ48,49,0.014553014553
TRAV5-TRAJ48,5,0.001485001485
TRAV6-TRAJ35,41,0.012177012177
TRAV6-TRAJ48,181,0.0537570537571
TRAV8-TRAJ35,85,0.025245025245
TRAV8-TRAJ48,19,0.00564300564301
TRAV9-TRAJ35,14,0.004158004158
TRAV9-TRAJ48,41,0.012177012177
TRAV9-TRAV9,11,0.003267003267
