VJ,count,relative.frequency
TRAV1-TRAJ35,1188,0.439674315322
TRAV1-TRAJ48,5,0.00185048112509
TRAV10-TRAJ48,16,0.0059215396003
TRAV11-TRAJ35,2,0.000740192450037
TRAV12-TRAJ35,132,0.0488527017024
TRAV12-TRAJ48,17,0.00629163582531
TRAV17-TRAJ35,7,0.00259067357513
TRAV17-TRAJ48,11,0.0040710584752
TRAV2-TRAJ35,2,0.000740192450037
TRAV20-TRAJ35,23,0.00851221317543
TRAV20-TRAJ48,10,0.00370096225019
TRAV23/DV6-TRAJ35,2,0.000740192450037
TRAV25-TRAJ35,2,0.000740192450037
TRAV25-TRAJ48,5,0.00185048112509
TRAV26-TRAJ35,71,0.0262768319763
TRAV26-TRAJ48,315,0.116580310881
TRAV27-TRAJ35,14,0.00518134715026
TRAV27-TRAJ48,14,0.00518134715026
TRAV30-TRAJ35,36,0.0133234641007
TRAV30-TRAJ48,6,0.00222057735011
TRAV30-TRAV30,6,0.00222057735011
TRAV34-TRAJ35,24,0.00888230940044
TRAV34-TRAJ48,17,0.00629163582531
TRAV34-TRAJ52,4,0.00148038490007
TRAV35-TRAJ35,12,0.00444115470022
TRAV35-TRAJ48,8,0.00296076980015
TRAV36/DV7-TRAJ35,18,0.00666173205033
TRAV38-TRAJ35,19,0.00703182827535
TRAV38-TRAJ48,20,0.00740192450037
TRAV4-TRAJ35,9,0.00333086602517
TRAV4-TRAJ48,4,0.00148038490007
TRAV40-TRAJ35,50,0.0185048112509
TRAV40-TRAJ48,65,0.0240562546262
TRAV41-TRAJ35,2,0.000740192450037
TRAV6-TRAJ35,20,0.00740192450037
TRAV6-TRAJ48,444,0.164322723908
TRAV8-TRAJ35,66,0.0244263508512
TRAV8-TRAJ48,23,0.00851221317543
TRAV9-TRAJ35,8,0.00296076980015
TRAV9-TRAJ48,5,0.00185048112509
