VJ,count,relative.frequency
IGHJ4-IGHJ4,13,0.00385413578417
IGHV1-IGHJ1,844,0.250222353988
IGHV1-IGHJ3,9,0.00266824785058
IGHV1-IGHJ4,1748,0.518233026979
IGHV1-IGHJ5,4,0.00118588793359
IGHV1-IGHJ6,26,0.00770827156834
IGHV1-IGHV1,2,0.000592943966795
IGHV1/OR15-IGHJ3,4,0.00118588793359
IGHV1/OR15-IGHJ4,35,0.0103765194189
IGHV1/OR15-IGHJ6,18,0.00533649570116
IGHV2-IGHJ3,3,0.000889415950193
IGHV2-IGHJ4,34,0.0100800474355
IGHV2-IGHJ5,4,0.00118588793359
IGHV2-IGHJ6,11,0.00326119181737
IGHV2/OR16-IGHJ5,7,0.00207530388378
IGHV3-IGHJ1,5,0.00148235991699
IGHV3-IGHJ3,26,0.00770827156834
IGHV3-IGHJ4,188,0.0557367328787
IGHV3-IGHJ5,9,0.00266824785058
IGHV3-IGHJ6,18,0.00533649570116
IGHV3-IGHV3,270,0.0800474355173
IGHV4-IGHJ4,49,0.0145271271865
IGHV4-IGHJ5,2,0.000592943966795
IGHV4-IGHJ6,2,0.000592943966795
IGHV4-IGHV4,32,0.00948710346872
IGHV7-IGHJ3,6,0.00177883190039
IGHV7-IGHJ4,4,0.00118588793359
