VJ,count,relative.frequency
TRAV1-TRAJ35,124,0.00164303696833
TRAV1-TRAJ48,118,0.00156353517954
TRAV10-TRAJ35,3,3.97508943951e-05
TRAV10-TRAJ48,7,9.2752086922e-05
TRAV11-TRAJ35,9,0.000119252683185
TRAV12-TRAJ35,79,0.0010467735524
TRAV12-TRAJ48,17,0.000225255068239
TRAV13-TRAJ48,3,3.97508943951e-05
TRAV14/DV4-TRAJ48,2,2.65005962634e-05
TRAV17-TRAJ35,16,0.000212004770107
TRAV17-TRAJ48,18,0.000238505366371
TRAV19-TRAJ48,7,9.2752086922e-05
TRAV2-TRAJ35,5,6.62514906585e-05
TRAV2-TRAJ48,2,2.65005962634e-05
TRAV20-TRAJ35,362,0.00479660792368
TRAV20-TRAJ48,2,2.65005962634e-05
TRAV23/DV6-TRAJ35,14,0.000185504173844
TRAV23/DV6-TRAJ48,13,0.000172253875712
TRAV24-TRAV24,3,3.97508943951e-05
TRAV25-TRAJ48,18,0.000238505366371
TRAV26-TRAJ14,5,6.62514906585e-05
TRAV26-TRAJ28,4,5.30011925268e-05
TRAV26-TRAJ35,956,0.0126672850139
TRAV26-TRAJ40,3,3.97508943951e-05
TRAV26-TRAJ48,1421,0.0188286736452
TRAV26-TRAV26,14,0.000185504173844
TRAV26-TRAV8,8,0.000106002385054
TRAV27-TRAJ35,63377,0.839764144693
TRAV27-TRAJ48,72,0.000954021465483
TRAV29/DV5-TRAJ35,2,2.65005962634e-05
TRAV30-TRAJ35,83,0.00109977474493
TRAV30-TRAJ48,134,0.00177553994965
TRAV34-TRAJ35,222,0.00294156618524
TRAV34-TRAJ48,127,0.00168278786273
TRAV35-TRAJ35,9,0.000119252683185
TRAV35-TRAJ48,19,0.000251755664502
TRAV36/DV7-TRAJ35,2,2.65005962634e-05
TRAV36/DV7-TRAJ48,2,2.65005962634e-05
TRAV38-TRAJ35,21,0.000278256260766
TRAV38-TRAJ48,69,0.000914270571088
TRAV38-TRAV38,3,3.97508943951e-05
TRAV4-TRAJ35,33,0.000437259838346
TRAV4-TRAJ48,4,5.30011925268e-05
TRAV40-TRAJ35,7174,0.0950576387969
TRAV40-TRAJ48,90,0.00119252683185
TRAV41-TRAJ35,6,7.95017887902e-05
TRAV6-TRAJ35,32,0.000424009540215
TRAV6-TRAJ48,477,0.00632039220882
TRAV8-TRAJ35,165,0.00218629919173
TRAV8-TRAJ48,94,0.00124552802438
TRAV9-TRAJ35,6,7.95017887902e-05
TRAV9-TRAJ48,14,0.000185504173844
