VJ,count,relative.frequency
TRAV1-TRAJ35,7,0.00608166811468
TRAV1-TRAJ48,4,0.00347523892268
TRAV10-TRAJ48,4,0.00347523892268
TRAV16-TRAJ48,2,0.00173761946134
TRAV17-TRAJ35,6,0.00521285838401
TRAV20-TRAJ48,2,0.00173761946134
TRAV25-TRAJ48,8,0.00695047784535
TRAV26-TRAJ26,2,0.00173761946134
TRAV26-TRAJ35,66,0.0573414422242
TRAV26-TRAJ48,924,0.802780191138
TRAV27-TRAJ48,49,0.0425716768028
TRAV30-TRAJ35,2,0.00173761946134
TRAV34-TRAJ35,26,0.0225890529974
TRAV34-TRAJ48,2,0.00173761946134
TRAV35-TRAJ48,2,0.00173761946134
TRAV38-TRAJ35,2,0.00173761946134
TRAV38-TRAJ48,9,0.00781928757602
TRAV4-TRAJ35,2,0.00173761946134
TRAV4-TRAJ48,2,0.00173761946134
TRAV40-TRAJ35,2,0.00173761946134
TRAV40-TRAJ48,3,0.00260642919201
TRAV5-TRAJ48,9,0.00781928757602
TRAV6-TRAJ35,8,0.00695047784535
TRAV6-TRAJ48,6,0.00521285838401
TRAV9-TRAJ35,2,0.00173761946134
