VJ,count,relative.frequency
TRAV17-TRAJ35,3,0.0024154589372
TRAV20-TRAJ35,3,0.0024154589372
TRAV24-TRAJ35,3,0.0024154589372
TRAV25-TRAJ35,2,0.00161030595813
TRAV26-TRAJ20,2,0.00161030595813
TRAV26-TRAJ35,106,0.085346215781
TRAV26-TRAJ48,1085,0.873590982287
TRAV27-TRAJ35,3,0.0024154589372
TRAV30-TRAJ35,2,0.00161030595813
TRAV34-TRAJ35,3,0.0024154589372
TRAV34-TRAJ48,4,0.00322061191626
TRAV36/DV7-TRAJ48,2,0.00161030595813
TRAV38-TRAJ35,2,0.00161030595813
TRAV40-TRAJ35,5,0.00402576489533
TRAV40-TRAJ48,2,0.00161030595813
TRAV6-TRAJ48,3,0.0024154589372
TRAV8-TRAJ35,4,0.00322061191626
TRAV9-TRAJ48,8,0.00644122383253
