VJ,count,relative.frequency
TRAJ35-TRAJ35,2,0.00022755717374
TRAV1-TRAJ35,100,0.011377858687
TRAV1-TRAJ48,91,0.0103538514052
TRAV10-TRAJ35,12,0.00136534304244
TRAV11-TRAJ35,24,0.00273068608488
TRAV11-TRAJ48,2,0.00022755717374
TRAV12-TRAJ35,33,0.00375469336671
TRAV12-TRAJ48,24,0.00273068608488
TRAV12-TRAV12,34,0.00386847195358
TRAV13-TRAJ35,10,0.0011377858687
TRAV13-TRAJ48,9,0.00102400728183
TRAV17-TRAJ35,17,0.00193423597679
TRAV17-TRAJ48,48,0.00546137216976
TRAV2-TRAJ35,1,0.00011377858687
TRAV2-TRAJ48,8,0.00091022869496
TRAV20-TRAJ35,11,0.00125156445557
TRAV20-TRAJ48,6,0.00068267152122
TRAV23/DV6-TRAJ35,3,0.00034133576061
TRAV23/DV6-TRAJ48,12,0.00136534304244
TRAV25-TRAJ35,2,0.00022755717374
TRAV25-TRAJ48,4,0.00045511434748
TRAV26-TRAJ35,140,0.0159290021618
TRAV26-TRAJ48,575,0.0654226874502
TRAV27-TRAJ35,45,0.00512003640915
TRAV27-TRAJ48,26,0.00295824325862
TRAV29/DV5-TRAJ35,2,0.00022755717374
TRAV30-TRAJ35,56,0.00637160086472
TRAV30-TRAJ48,29,0.00329957901923
TRAV30-TRAV30,7,0.00079645010809
TRAV34-TRAJ35,61,0.00694049379907
TRAV34-TRAJ48,450,0.0512003640915
TRAV34-TRAJ53,2,0.00022755717374
TRAV35-TRAJ35,36,0.00409602912732
TRAV35-TRAJ48,39,0.00443736488793
TRAV36/DV7-TRAJ35,20,0.0022755717374
TRAV36/DV7-TRAJ48,4,0.00045511434748
TRAV38-TRAJ35,38,0.00432358630106
TRAV38-TRAJ48,20,0.0022755717374
TRAV39-TRAJ48,3710,0.422118557288
TRAV4-TRAJ35,24,0.00273068608488
TRAV4-TRAJ48,4,0.00045511434748
TRAV40-TRAJ35,60,0.0068267152122
TRAV40-TRAJ48,23,0.00261690749801
TRAV41-TRAJ35,2,0.00022755717374
TRAV5-TRAJ48,2,0.00022755717374
TRAV6-TRAJ35,20,0.0022755717374
TRAV6-TRAJ48,2766,0.314711571282
TRAV8-TRAJ35,60,0.0068267152122
TRAV8-TRAJ48,77,0.00876095118899
TRAV9-TRAJ35,21,0.00238935032427
TRAV9-TRAJ48,17,0.00193423597679
