VJ,count,relative.frequency
TRAV1-TRAJ35,6,0.0163043478261
TRAV1-TRAJ48,2,0.0054347826087
TRAV17-TRAJ35,2,0.0054347826087
TRAV17-TRAJ48,11,0.0298913043478
TRAV20-TRAJ48,7,0.0190217391304
TRAV24-TRAJ35,6,0.0163043478261
TRAV26-TRAJ35,12,0.0326086956522
TRAV26-TRAJ48,272,0.739130434783
TRAV27-TRAJ48,2,0.0054347826087
TRAV34-TRAJ35,6,0.0163043478261
TRAV34-TRAJ48,4,0.0108695652174
TRAV38-TRAJ35,3,0.00815217391304
TRAV38-TRAJ48,2,0.0054347826087
TRAV40-TRAJ48,8,0.0217391304348
TRAV6-TRAJ48,13,0.0353260869565
TRAV8-TRAJ35,5,0.0135869565217
TRAV8-TRAJ48,5,0.0135869565217
TRAV9-TRAJ48,2,0.0054347826087
