VJ,count,relative.frequency
TRAV1-TRAJ48,3,0.00294695481336
TRAV17-TRAJ35,3,0.00294695481336
TRAV17-TRAJ48,15,0.0147347740668
TRAV26-TRAJ35,79,0.0776031434185
TRAV26-TRAJ48,712,0.699410609037
TRAV27-TRAJ48,2,0.00196463654224
TRAV30-TRAJ35,24,0.0235756385069
TRAV30-TRAJ48,7,0.00687622789784
TRAV34-TRAJ35,2,0.00196463654224
TRAV34-TRAJ48,2,0.00196463654224
TRAV35-TRAJ35,3,0.00294695481336
TRAV38-TRAJ48,2,0.00196463654224
TRAV4-TRAJ35,2,0.00196463654224
TRAV40-TRAJ35,4,0.00392927308448
TRAV40-TRAJ48,6,0.00589390962672
TRAV5-TRAJ48,3,0.00294695481336
TRAV6-TRAJ48,142,0.139489194499
TRAV8-TRAJ35,3,0.00294695481336
TRAV8-TRAJ48,2,0.00196463654224
TRAV9-TRAJ48,2,0.00196463654224
