VJ,count,relative.frequency
IGHJ4-IGHJ4,28,0.0388349514563
IGHJ5-IGHJ5,32,0.0443828016644
IGHV1-IGHJ3,6,0.00832177531207
IGHV1-IGHJ4,184,0.25520110957
IGHV1-IGHJ6,27,0.0374479889043
IGHV1/OR15-IGHJ4,21,0.0291262135922
IGHV2-IGHJ4,167,0.231622746186
IGHV2-IGHJ6,3,0.00416088765603
IGHV3-IGHJ3,26,0.0360610263523
IGHV3-IGHJ4,67,0.0929264909847
IGHV3-IGHJ5,5,0.00693481276006
IGHV3-IGHJ6,100,0.138696255201
IGHV3/OR16-IGHJ5,3,0.00416088765603
IGHV4-IGHJ4,9,0.0124826629681
IGHV4-IGHJ5,2,0.00277392510402
IGHV4-IGHJ6,16,0.0221914008322
IGHV4-IGHV4,14,0.0194174757282
IGHV5-IGHJ4,2,0.00277392510402
IGHV7-IGHJ4,3,0.00416088765603
IGHV7-IGHJ5,2,0.00277392510402
IGHV7-IGHJ6,4,0.00554785020804
