VJ,count,relative.frequency
TRAV1-TRAJ35,16,0.00768491834774
TRAV1-TRAJ48,55,0.0264169068204
TRAV1-TRAV1,9,0.00432276657061
TRAV10-TRAJ35,17,0.00816522574448
TRAV10-TRAJ48,9,0.00432276657061
TRAV11-TRAJ35,9,0.00432276657061
TRAV11-TRAJ48,2,0.000960614793468
TRAV12-TRAJ35,86,0.0413064361191
TRAV12-TRAJ48,34,0.016330451489
TRAV12-TRAV12,15,0.00720461095101
TRAV13-TRAJ35,2,0.000960614793468
TRAV13-TRAJ48,15,0.00720461095101
TRAV17-TRAJ35,51,0.0244956772334
TRAV17-TRAJ48,10,0.00480307396734
TRAV18-TRAJ35,4,0.00192122958694
TRAV2-TRAJ35,2,0.000960614793468
TRAV2-TRAJ48,2,0.000960614793468
TRAV20-TRAJ35,27,0.0129682997118
TRAV20-TRAJ48,4,0.00192122958694
TRAV23/DV6-TRAJ35,2,0.000960614793468
TRAV24-TRAJ48,2,0.000960614793468
TRAV25-TRAJ35,2,0.000960614793468
TRAV26-TRAJ29,5,0.00240153698367
TRAV26-TRAJ35,134,0.0643611911623
TRAV26-TRAJ42,5,0.00240153698367
TRAV26-TRAJ48,495,0.237752161383
TRAV26-TRAJ52,48,0.0230547550432
TRAV26-TRAJ57,27,0.0129682997118
TRAV27-TRAJ35,7,0.00336215177714
TRAV27-TRAJ48,13,0.00624399615754
TRAV30-TRAJ35,76,0.0365033621518
TRAV30-TRAJ48,62,0.0297790585975
TRAV30-TRAV30,3,0.0014409221902
TRAV34-TRAJ35,70,0.0336215177714
TRAV34-TRAJ48,17,0.00816522574448
TRAV35-TRAJ35,14,0.00672430355427
TRAV35-TRAJ48,7,0.00336215177714
TRAV36/DV7-TRAJ35,2,0.000960614793468
TRAV36/DV7-TRAJ48,6,0.0028818443804
TRAV38-TRAJ35,107,0.0513928914505
TRAV38-TRAJ48,59,0.0283381364073
TRAV4-TRAJ35,82,0.0393852065322
TRAV40-TRAJ35,22,0.0105667627281
TRAV40-TRAJ42,2,0.000960614793468
TRAV40-TRAJ48,12,0.00576368876081
TRAV41-TRAJ35,8,0.00384245917387
TRAV6-TRAJ35,17,0.00816522574448
TRAV6-TRAJ48,14,0.00672430355427
TRAV8-TRAJ35,226,0.108549471662
TRAV8-TRAJ48,68,0.0326609029779
TRAV9-TRAJ35,9,0.00432276657061
TRAV9-TRAJ48,90,0.0432276657061
