VJ,count,relative.frequency
TRAV1-TRAJ48,18,0.0150627615063
TRAV17-TRAJ35,4,0.00334728033473
TRAV20-TRAJ35,3,0.00251046025105
TRAV20-TRAJ48,8,0.00669456066946
TRAV23/DV6-TRAJ48,63,0.052719665272
TRAV25-TRAJ48,2,0.00167364016736
TRAV26-TRAJ35,398,0.333054393305
TRAV26-TRAJ48,532,0.445188284519
TRAV27-TRAJ48,2,0.00167364016736
TRAV30-TRAJ35,6,0.00502092050209
TRAV34-TRAJ35,6,0.00502092050209
TRAV34-TRAJ48,26,0.0217573221757
TRAV38-TRAJ48,27,0.0225941422594
TRAV40-TRAJ35,3,0.00251046025105
TRAV40-TRAJ48,21,0.0175732217573
TRAV6-TRAJ48,57,0.0476987447699
TRAV8-TRAJ35,2,0.00167364016736
TRAV8-TRAJ48,17,0.0142259414226
