VJ,count,relative.frequency
TRAV1-TRAJ35,2,0.00361010830325
TRAV1-TRAJ48,3,0.00541516245487
TRAV17-TRAJ35,36,0.0649819494585
TRAV17-TRAJ48,60,0.108303249097
TRAV18-TRAJ48,2,0.00361010830325
TRAV20-TRAJ35,10,0.0180505415162
TRAV26-TRAJ35,28,0.0505415162455
TRAV26-TRAJ48,382,0.689530685921
TRAV27-TRAJ48,3,0.00541516245487
TRAV30-TRAJ35,2,0.00361010830325
TRAV34-TRAJ35,3,0.00541516245487
TRAV34-TRAJ48,6,0.0108303249097
TRAV36/DV7-TRAJ48,5,0.00902527075812
TRAV40-TRAJ35,2,0.00361010830325
TRAV6-TRAJ35,2,0.00361010830325
TRAV6-TRAJ48,6,0.0108303249097
TRAV9-TRAJ48,2,0.00361010830325
