VJ,count,relative.frequency
TRAV1-TRAJ35,13,0.00957995578482
TRAV1-TRAJ48,10,0.00736919675755
TRAV10-TRAJ35,4,0.00294767870302
TRAV10-TRAJ48,2,0.00147383935151
TRAV11-TRAJ35,14,0.0103168754606
TRAV11-TRAJ48,9,0.0066322770818
TRAV12-TRAJ35,43,0.0316875460575
TRAV12-TRAJ48,28,0.0206337509211
TRAV13-TRAJ35,6,0.00442151805453
TRAV13-TRAJ48,13,0.00957995578482
TRAV16-TRAJ48,2,0.00147383935151
TRAV17-TRAJ35,2,0.00147383935151
TRAV17-TRAJ48,13,0.00957995578482
TRAV20-TRAJ35,8,0.00589535740604
TRAV20-TRAJ48,4,0.00294767870302
TRAV22-TRAJ35,2,0.00147383935151
TRAV26-TRAJ35,49,0.036109064112
TRAV26-TRAJ48,127,0.0935887988209
TRAV27-TRAJ35,16,0.0117907148121
TRAV27-TRAJ48,5,0.00368459837878
TRAV30-TRAJ35,12,0.00884303610906
TRAV30-TRAJ48,10,0.00736919675755
TRAV34-TRAJ35,35,0.0257921886514
TRAV34-TRAJ48,17,0.0125276344878
TRAV35-TRAJ35,56,0.0412675018423
TRAV35-TRAJ48,21,0.0154753131909
TRAV36/DV7-TRAJ35,5,0.00368459837878
TRAV36/DV7-TRAJ48,2,0.00147383935151
TRAV38-TRAJ35,171,0.126013264554
TRAV38-TRAJ48,21,0.0154753131909
TRAV4-TRAJ35,11,0.00810611643331
TRAV40-TRAJ35,25,0.0184229918939
TRAV40-TRAJ48,14,0.0103168754606
TRAV41-TRAJ35,9,0.0066322770818
TRAV41-TRAJ48,2,0.00147383935151
TRAV5-TRAJ35,2,0.00147383935151
TRAV6-TRAJ35,181,0.133382461312
TRAV6-TRAJ48,307,0.226234340457
TRAV8-TRAJ35,37,0.0272660280029
TRAV8-TRAJ48,28,0.0206337509211
TRAV8-TRAV14/DV4,5,0.00368459837878
TRAV9-TRAJ35,6,0.00442151805453
TRAV9-TRAJ48,10,0.00736919675755
