VJ,count,relative.frequency
TRAV1-TRAJ35,2,0.00488997555012
TRAV23/DV6-TRAJ48,14,0.0342298288509
TRAV26-TRAJ14,4,0.00977995110024
TRAV26-TRAJ35,28,0.0684596577017
TRAV26-TRAJ48,296,0.723716381418
TRAV27-TRAJ35,2,0.00488997555012
TRAV27-TRAJ48,3,0.00733496332518
TRAV30-TRAJ48,9,0.0220048899756
TRAV34-TRAJ35,14,0.0342298288509
TRAV34-TRAJ48,4,0.00977995110024
TRAV38-TRAJ35,9,0.0220048899756
TRAV40-TRAJ48,16,0.039119804401
TRAV41-TRAJ35,2,0.00488997555012
TRAV8-TRAJ35,4,0.00977995110024
TRAV9-TRAJ35,2,0.00488997555012
