VJ,count,relative.frequency
TRAV1-TRAJ35,22,0.00114906507887
TRAV1-TRAJ48,21,0.00109683484801
TRAV10-TRAJ35,40,0.0020892092343
TRAV10-TRAJ48,7,0.000365611616003
TRAV12-TRAJ35,20,0.00104460461715
TRAV12-TRAJ48,15,0.000783453462864
TRAV13-TRAJ48,15,0.000783453462864
TRAV14/DV4-TRAJ35,9,0.000470072077719
TRAV14/DV4-TRAJ48,3,0.000156690692573
TRAV17-TRAJ12,2,0.000104460461715
TRAV17-TRAJ35,9,0.000470072077719
TRAV17-TRAJ48,19,0.000992374386295
TRAV20-TRAJ35,37,0.00193251854173
TRAV20-TRAJ48,6,0.000313381385146
TRAV23/DV6-TRAJ48,2,0.000104460461715
TRAV24-TRAJ48,2,0.000104460461715
TRAV26-TRAJ35,40,0.0020892092343
TRAV26-TRAJ48,1423,0.0743236185104
TRAV27-TRAJ35,12,0.000626762770291
TRAV27-TRAJ48,17,0.00088791392458
TRAV29/DV5-TRAJ35,2,0.000104460461715
TRAV3-TRAJ48,3,0.000156690692573
TRAV30-TRAJ35,10,0.000522302308576
TRAV30-TRAJ48,7,0.000365611616003
TRAV34-TRAJ35,37,0.00193251854173
TRAV34-TRAJ48,5,0.000261151154288
TRAV35-TRAJ35,137,0.00715554162749
TRAV35-TRAJ48,9,0.000470072077719
TRAV36/DV7-TRAJ35,2,0.000104460461715
TRAV36/DV7-TRAJ48,6,0.000313381385146
TRAV38-TRAJ35,162,0.00846129739893
TRAV38-TRAJ48,61,0.00318604408231
TRAV39-TRAJ48,1220,0.0637208816463
TRAV4-TRAJ35,2,0.000104460461715
TRAV4-TRAJ48,7,0.000365611616003
TRAV40-TRAJ35,14578,0.761412305442
TRAV40-TRAJ48,1045,0.0545805912462
TRAV41-TRAJ35,2,0.000104460461715
TRAV6-TRAJ35,8,0.000417841846861
TRAV6-TRAJ48,18,0.000940144155437
TRAV8-TRAJ35,58,0.00302935338974
TRAV8-TRAJ48,30,0.00156690692573
TRAV8-TRAV8,6,0.000313381385146
TRAV9-TRAJ35,6,0.000313381385146
TRAV9-TRAJ48,4,0.00020892092343
