VJ,count,relative.frequency
TRAV10-TRAJ35,7,0.0514705882353
TRAV20-TRAJ48,5,0.0367647058824
TRAV25-TRAJ48,2,0.0147058823529
TRAV26-TRAJ35,2,0.0147058823529
TRAV26-TRAJ43,6,0.0441176470588
TRAV30-TRAJ48,4,0.0294117647059
TRAV30-TRAJ53,13,0.0955882352941
TRAV35-TRAJ48,2,0.0147058823529
TRAV36/DV7-TRAJ35,2,0.0147058823529
TRAV36/DV7-TRAJ36,56,0.411764705882
TRAV38-TRAJ48,2,0.0147058823529
TRAV40-TRAJ48,21,0.154411764706
TRAV41-TRAJ48,2,0.0147058823529
TRAV8-TRAJ35,2,0.0147058823529
TRAV8-TRAJ48,8,0.0588235294118
TRAV9-TRAJ48,2,0.0147058823529
