contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k41_83,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,0,410,410,100.0,no-blast
k41_68,NC_001142.9,Saccharomyces_cerevisiae_S288c_chromosome_X__complete_sequence,0,201,201,100.0,no-blast
k41_65,NC_001136.10,Saccharomyces_cerevisiae_S288c_chromosome_IV__complete_sequence,0,225,225,100.0,no-blast
k41_51,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,254,254,100.0,no-blast
k41_67,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,1,299,299,99.6655518395,no-blast
k41_75,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,8,264,270,96.9696969697,no-blast
k41_50,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,355,355,100.0,no-blast
k41_56,NC_001136.10,Saccharomyces_cerevisiae_S288c_chromosome_IV__complete_sequence,0,213,213,100.0,no-blast
k41_71,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,220,220,100.0,no-blast
k41_46,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,0,216,216,100.0,no-blast
k41_45,NC_001138.5,Saccharomyces_cerevisiae_S288c_chromosome_VI__complete_sequence,0,304,304,100.0,no-blast
k41_44,NC_001224.1,Saccharomyces_cerevisiae_S288c_mitochondrion__complete_genome,0,305,305,100.0,no-blast
k41_42,NC_001143.9,Saccharomyces_cerevisiae_S288c_chromosome_XI__complete_sequence,0,201,201,100.0,no-blast
k41_40,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,7,495,495,98.5858585859,no-blast
k41_57,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,333,333,100.0,no-blast
k41_49,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,279,279,100.0,no-blast
k41_48,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,2,353,353,99.433427762,no-blast
k41_2,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,1,204,204,99.5098039216,confirmed-blast-genus
k41_7,NC_001137.3,Saccharomyces_cerevisiae_S288c_chromosome_V__complete_sequence,0,330,330,100.0,confirmed-blast-genus
k41_21,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,207,207,100.0,confirmed-blast-genus
k41_31,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,10,276,276,96.3768115942,confirmed-blast-genus
k41_15,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,25,273,298,90.8424908425,confirmed-blast-genus
k41_17,NC_001138.5,Saccharomyces_cerevisiae_S288c_chromosome_VI__complete_sequence,0,372,372,100.0,confirmed-blast-genus
