contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k41_88,NC_001137.3,Saccharomyces_cerevisiae_S288c_chromosome_V__complete_sequence,0,212,212,100.0,no-blast
k41_72,NC_001142.9,Saccharomyces_cerevisiae_S288c_chromosome_X__complete_sequence,0,206,206,100.0,no-blast
k41_45,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,6,259,259,97.6833976834,no-blast
k41_40,NC_001140.6,Saccharomyces_cerevisiae_S288c_chromosome_VIII__complete_sequence,2,225,225,99.1111111111,no-blast
k41_29,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,394,394,100.0,no-blast
k41_48,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,355,355,100.0,no-blast
k41_68,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,205,205,100.0,no-blast
k41_65,NC_006040.1,Kluyveromyces_lactis_strain_NRRL_Y-1140_chromosome_D_complete_sequence,14,299,299,95.3177257525,no-blast
k41_66,NC_001146.8,Saccharomyces_cerevisiae_S288c_chromosome_XIV__complete_sequence,0,262,262,100.0,no-blast
k41_61,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,247,247,100.0,no-blast
k41_32,NC_001224.1,Saccharomyces_cerevisiae_S288c_mitochondrion__complete_genome,0,239,239,100.0,no-blast
k41_30,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,348,348,100.0,no-blast
k41_31,NC_001142.9,Saccharomyces_cerevisiae_S288c_chromosome_X__complete_sequence,1,219,219,99.5433789954,no-blast
k41_37,NC_012867.1,Candida_dubliniensis_CD36_chromosome_R__complete_sequence,25,349,357,92.8366762178,no-blast
k41_14,NC_001138.5,Saccharomyces_cerevisiae_S288c_chromosome_VI__complete_sequence,0,373,373,100.0,no-blast
k41_59,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,0,259,259,100.0,no-blast
k41_90,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,14,214,225,93.4579439252,no-blast
k41_92,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,251,251,100.0,no-blast
k41_78,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,243,243,100.0,no-blast
k41_93,NC_001147.6,Saccharomyces_cerevisiae_S288c_chromosome_XV__complete_sequence,0,262,262,100.0,no-blast
k41_51,NC_001137.3,Saccharomyces_cerevisiae_S288c_chromosome_V__complete_sequence,0,226,226,100.0,no-blast
k41_74,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,25,389,414,93.5732647815,no-blast
k41_54,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,4,270,270,98.5185185185,no-blast
k41_55,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,232,232,100.0,no-blast
k41_71,NC_006040.1,Kluyveromyces_lactis_strain_NRRL_Y-1140_chromosome_D_complete_sequence,23,272,283,91.5441176471,no-blast
k41_3,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,211,211,100.0,confirmed-blast-genus
