contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k51_27,U89438,Pestivirus_type_1_nonstructural_protein_P125-2_(p125)_mRNA_partial_cds_,20,269,282,92.5650557621,no-blast
k51_30,AF268174,Bovine_viral_diarrhea_virus_type_2_strain_BVDV2-Ms_St_T4529c_polyprotein_gene_partial_cds_,71,134,200,47.0149253731,no-blast
k51_25,EU410304,Vaccinia_virus_GLV-1h68_complete_genome_,16,218,234,92.6605504587,no-blast
k51_28,AX786923,Sequence_28_from_Patent_WO0240719_,27,304,331,91.1184210526,no-blast
k51_15,EU410304,Vaccinia_virus_GLV-1h68_complete_genome_,0,215,215,100.0,no-blast
k51_13,AF227253,Bovine_viral_diarrhea_virus-1_strain_CP821_polyprotein_gene_partial_cds_,28,242,257,88.4297520661,no-blast
k51_19,JB021959,Sequence_10_from_Patent_EP2495325_,7,250,257,97.2,no-blast
k51_3,KU746280,Guanarito_mammarenavirus_isolate_CVH-950801_segment_S_complete_sequence_,63,188,214,66.4893617021,no-blast
k51_20,AB111966,Bovine_viral_diarrhea_virus_190cp_gene_for_poryprotein_partai_cds_strain_190cp_,108,226,315,52.2123893805,no-blast
k51_4,E01406,DNA_sequence_of_4_16kb_human_Bam_H1/Bg_1_II_,1,202,202,99.504950495,no-blast
k51_12,JB021959,Sequence_10_from_Patent_EP2495325_,8,627,634,98.7240829346,no-blast
k51_11,BD140416,Hepatitis_C_virus_protease_,18,396,413,95.4545454545,no-blast
k51_10,KU746283,Guanarito_mammarenavirus_isolate_CVH-960201_segment_L_complete_sequence_,62,406,467,84.7290640394,no-blast
k51_26,JB021959,Sequence_10_from_Patent_EP2495325_,1,200,200,99.5,no-blast
k51_18,EU410304,Vaccinia_virus_GLV-1h68_complete_genome_,1,234,234,99.5726495726,no-blast
