contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity,flag
k51_42,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,218,218,100.0,no-blast
k51_36,NC_006040.1,Kluyveromyces_lactis_strain_NRRL_Y-1140_chromosome_D_complete_sequence,6,203,203,97.0443349754,no-blast
k51_35,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,233,233,100.0,no-blast
k51_41,NC_001138.5,Saccharomyces_cerevisiae_S288c_chromosome_VI__complete_sequence,0,236,236,100.0,no-blast
k51_33,NC_001134.8,Saccharomyces_cerevisiae_S288c_chromosome_II__complete_sequence,1,207,207,99.5169082126,no-blast
k51_32,NC_006040.1,Kluyveromyces_lactis_strain_NRRL_Y-1140_chromosome_D_complete_sequence,10,259,259,96.138996139,no-blast
k51_31,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,1,322,322,99.6894409938,no-blast
k51_45,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,1,291,291,99.6563573883,no-blast
k51_30,NC_001147.6,Saccharomyces_cerevisiae_S288c_chromosome_XV__complete_sequence,0,274,274,100.0,no-blast
k51_38,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,230,230,100.0,no-blast
k51_15,NC_001138.5,Saccharomyces_cerevisiae_S288c_chromosome_VI__complete_sequence,0,435,435,100.0,no-blast
k51_17,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,6,247,249,97.5708502024,no-blast
k51_16,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,0,255,255,100.0,no-blast
k51_13,NC_001139.9,Saccharomyces_cerevisiae_S288c_chromosome_VII__complete_sequence,1,202,202,99.504950495,no-blast
k51_7,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,0,286,286,100.0,confirmed-blast-genus
k51_11,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,4,302,302,98.6754966887,confirmed-blast-genus
k51_3,NC_001144.5,Saccharomyces_cerevisiae_S288c_chromosome_XII__complete_sequence,5,370,370,98.6486486486,confirmed-blast-genus
